@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,'\'(0.15-0.25]\'',0.625,1.4,Iris-setosa
-1.1392,'\'(0.15-0.25]\'',0.416667,1.4,Iris-setosa
-1.380727,'\'(0.15-0.25]\'',0.5,1.3,Iris-setosa
-1.50149,'\'(0.15-0.25]\'',0.458333,1.5,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',0.666667,1.4,Iris-setosa
-0.535384,'\'(0.25-0.55]\'',0.791667,1.7,Iris-setosa
-1.50149,'\'(0.25-0.55]\'',0.583333,1.4,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',0.583333,1.5,Iris-setosa
-1.743017,'\'(0.15-0.25]\'',0.375,1.4,Iris-setosa
-1.1392,'\'(-inf-0.15]\'',0.458333,1.5,Iris-setosa
-0.535384,'\'(0.15-0.25]\'',0.708333,1.5,Iris-setosa
-1.259964,'\'(0.15-0.25]\'',0.583333,1.6,Iris-setosa
-1.259964,'\'(-inf-0.15]\'',0.416667,1.4,Iris-setosa
-1.86378,'\'(-inf-0.15]\'',0.416667,1.1,Iris-setosa
-0.052331,'\'(0.15-0.25]\'',0.833333,1.2,Iris-setosa
-0.173094,'\'(0.25-0.55]\'',1,1.5,Iris-setosa
-0.535384,'\'(0.25-0.55]\'',0.791667,1.3,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',0.625,1.4,Iris-setosa
-0.173094,'\'(0.25-0.55]\'',0.75,1.7,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',0.75,1.5,Iris-setosa
-0.535384,'\'(0.15-0.25]\'',0.583333,1.7,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',0.708333,1.5,Iris-setosa
-1.50149,'\'(0.15-0.25]\'',0.666667,1,Iris-setosa
-0.897674,'\'(0.25-0.55]\'',0.541667,1.7,Iris-setosa
-1.259964,'\'(0.15-0.25]\'',0.583333,1.9,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',0.416667,1.6,Iris-setosa
-1.018437,'\'(0.25-0.55]\'',0.583333,1.6,Iris-setosa
-0.776911,'\'(0.15-0.25]\'',0.625,1.5,Iris-setosa
-0.776911,'\'(0.15-0.25]\'',0.583333,1.4,Iris-setosa
-1.380727,'\'(0.15-0.25]\'',0.5,1.6,Iris-setosa
-1.259964,'\'(0.15-0.25]\'',0.458333,1.6,Iris-setosa
-0.535384,'\'(0.25-0.55]\'',0.583333,1.5,Iris-setosa
-0.776911,'\'(-inf-0.15]\'',0.875,1.5,Iris-setosa
-0.414621,'\'(0.15-0.25]\'',0.916667,1.4,Iris-setosa
-1.1392,'\'(-inf-0.15]\'',0.458333,1.5,Iris-setosa
-1.018437,'\'(0.15-0.25]\'',0.5,1.2,Iris-setosa
-0.414621,'\'(0.15-0.25]\'',0.625,1.3,Iris-setosa
