@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,'\'(-inf--1.22911]\'',1.028611,5.1,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',-0.12454,4.9,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.33672,4.7,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.10609,4.6,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',1.259242,5,Iris-setosa
-1.046525,'\'(-1.22911--0.894723]\'',1.951133,5.4,Iris-setosa
-1.177559,'\'(-inf--1.22911]\'',0.797981,4.6,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.797981,5,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',-0.355171,4.4,Iris-setosa
-1.439627,'\'(-inf--1.22911]\'',0.10609,4.9,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',1.489872,5.4,Iris-setosa
-1.308593,'\'(-1.22911--0.894723]\'',0.797981,4.8,Iris-setosa
-1.439627,'\'(-inf--1.22911]\'',-0.12454,4.8,Iris-setosa
-1.439627,'\'(-inf--1.22911]\'',-0.12454,4.3,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',2.181763,5.8,Iris-setosa
-1.046525,'\'(-inf--1.22911]\'',3.104284,5.7,Iris-setosa
-1.046525,'\'(-inf--1.22911]\'',1.951133,5.4,Iris-setosa
-1.177559,'\'(-inf--1.22911]\'',1.028611,5.1,Iris-setosa
-1.177559,'\'(-1.22911--0.894723]\'',1.720502,5.7,Iris-setosa
-1.177559,'\'(-inf--1.22911]\'',1.720502,5.1,Iris-setosa
-1.308593,'\'(-1.22911--0.894723]\'',0.797981,5.4,Iris-setosa
-1.046525,'\'(-inf--1.22911]\'',1.489872,5.1,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',1.259242,4.6,Iris-setosa
-0.915491,'\'(-1.22911--0.894723]\'',0.567351,5.1,Iris-setosa
-1.308593,'\'(-1.22911--0.894723]\'',0.797981,4.8,Iris-setosa
-1.308593,'\'(-1.22911--0.894723]\'',-0.12454,5,Iris-setosa
-1.046525,'\'(-1.22911--0.894723]\'',0.797981,5,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',1.028611,5.2,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.797981,5.2,Iris-setosa
-1.308593,'\'(-1.22911--0.894723]\'',0.33672,4.7,Iris-setosa
-1.308593,'\'(-1.22911--0.894723]\'',0.10609,4.8,Iris-setosa
-1.046525,'\'(-inf--1.22911]\'',0.797981,5.4,Iris-setosa
-1.439627,'\'(-inf--1.22911]\'',2.412393,5.2,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',2.643024,5.5,Iris-setosa
-1.439627,'\'(-inf--1.22911]\'',0.10609,4.9,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.33672,5,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',1.028611,5.5,Iris-setosa
-1.439627,'\'(-inf--1.22911]\'',0.10609,4.9,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',-0.12454,4.4,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.797981,5.1,Iris-setosa
-1.177559,'\'(-inf--1.22911]\'',1.028611,5,Iris-setosa
-1.177559,'\'(-inf--1.22911]\'',-1.738953,4.5,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.33672,4.4,Iris-setosa
-0.784457,'\'(-1.22911--0.894723]\'',1.028611,5,Iris-setosa
-1.046525,'\'(-1.22911--0.894723]\'',1.720502,5.1,Iris-setosa
-1.177559,'\'(-inf--1.22911]\'',-0.12454,4.8,Iris-setosa
-1.308593,'\'(-1.22911--0.894723]\'',1.720502,5.1,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.33672,4.6,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',1.489872,5.3,Iris-setosa
-1.308593,'\'(-inf--1.22911]\'',0.567351,5,Iris-setosa
0.263815,'\'(0.442827-0.777215]\'',0.33672,7,Iris-versicolor
0.394849,'\'(0.10844-0.442827]\'',0.33672,6.4,Iris-versicolor
0.394849,'\'(0.442827-0.777215]\'',0.10609,6.9,Iris-versicolor
0.132781,'\'(0.10844-0.442827]\'',-1.738953,5.5,Iris-versicolor
0.394849,'\'(0.442827-0.777215]\'',-0.585801,6.5,Iris-versicolor
0.132781,'\'(0.10844-0.442827]\'',-0.585801,5.7,Iris-versicolor
0.525883,'\'(0.442827-0.777215]\'',0.567351,6.3,Iris-versicolor
-0.260321,'\'(-0.560335--0.225948]\'',-1.508322,4.9,Iris-versicolor
0.132781,'\'(0.442827-0.777215]\'',-0.355171,6.6,Iris-versicolor
0.263815,'\'(-0.225948-0.10844]\'',-0.816431,5.2,Iris-versicolor
-0.260321,'\'(-0.225948-0.10844]\'',-2.430844,5,Iris-versicolor
0.394849,'\'(0.10844-0.442827]\'',-0.12454,5.9,Iris-versicolor
-0.260321,'\'(0.10844-0.442827]\'',-1.969583,6,Iris-versicolor
0.263815,'\'(0.442827-0.777215]\'',-0.355171,6.1,Iris-versicolor
0.132781,'\'(-0.225948-0.10844]\'',-0.355171,5.6,Iris-versicolor
0.263815,'\'(0.10844-0.442827]\'',0.10609,6.7,Iris-versicolor
0.394849,'\'(0.10844-0.442827]\'',-0.12454,5.6,Iris-versicolor
-0.260321,'\'(0.10844-0.442827]\'',-0.816431,5.8,Iris-versicolor
0.394849,'\'(0.10844-0.442827]\'',-1.969583,6.2,Iris-versicolor
-0.129287,'\'(-0.225948-0.10844]\'',-1.277692,5.6,Iris-versicolor
0.787951,'\'(0.442827-0.777215]\'',0.33672,5.9,Iris-versicolor
0.132781,'\'(0.10844-0.442827]\'',-0.585801,6.1,Iris-versicolor
0.394849,'\'(0.442827-0.777215]\'',-1.277692,6.3,Iris-versicolor
0.001747,'\'(0.442827-0.777215]\'',-0.585801,6.1,Iris-versicolor
0.132781,'\'(0.10844-0.442827]\'',-0.355171,6.4,Iris-versicolor
0.263815,'\'(0.10844-0.442827]\'',-0.12454,6.6,Iris-versicolor
0.263815,'\'(0.442827-0.777215]\'',-0.585801,6.8,Iris-versicolor
0.656917,'\'(0.442827-0.777215]\'',-0.12454,6.7,Iris-versicolor
0.394849,'\'(0.10844-0.442827]\'',-0.355171,6,Iris-versicolor
-0.260321,'\'(-0.225948-0.10844]\'',-1.047062,5.7,Iris-versicolor
-0.129287,'\'(-0.225948-0.10844]\'',-1.508322,5.5,Iris-versicolor
-0.260321,'\'(-0.225948-0.10844]\'',-1.508322,5.5,Iris-versicolor
0.001747,'\'(-0.225948-0.10844]\'',-0.816431,5.8,Iris-versicolor
0.525883,'\'(0.442827-0.777215]\'',-0.816431,6,Iris-versicolor
0.394849,'\'(0.10844-0.442827]\'',-0.12454,5.4,Iris-versicolor
0.525883,'\'(0.10844-0.442827]\'',0.797981,6,Iris-versicolor
0.394849,'\'(0.442827-0.777215]\'',0.10609,6.7,Iris-versicolor
0.132781,'\'(0.10844-0.442827]\'',-1.738953,6.3,Iris-versicolor
