@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf--1.365132]\'','\'(-1.365132--1.308456]\'','\'(-1.308456--1.25178]\'','\'(-1.25178--0.203277]\'','\'(-0.203277-0.221791]\'','\'(0.221791-0.448495]\'','\'(0.448495-0.675198]\'','\'(0.675198-0.901901]\'','\'(0.901901-1.128605]\'','\'(1.128605-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,'\'(-1.365132--1.308456]\'',1.028611,5.1,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',-0.12454,4.9,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',0.33672,4.7,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',0.10609,4.6,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',1.259242,5,Iris-setosa
-1.046525,'\'(-1.25178--0.203277]\'',1.951133,5.4,Iris-setosa
-1.177559,'\'(-1.365132--1.308456]\'',0.797981,4.6,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',0.797981,5,Iris-setosa
-1.308593,'\'(-1.365132--1.308456]\'',-0.355171,4.4,Iris-setosa
-1.439627,'\'(-1.308456--1.25178]\'',0.10609,4.9,Iris-setosa
-1.308593,'\'(-1.308456--1.25178]\'',1.489872,5.4,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',0.797981,4.8,Iris-setosa
-1.439627,'\'(-1.365132--1.308456]\'',-0.12454,4.8,Iris-setosa
-1.439627,'\'(-inf--1.365132]\'',-0.12454,4.3,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',2.181763,5.8,Iris-setosa
-1.046525,'\'(-1.308456--1.25178]\'',3.104284,5.7,Iris-setosa
-1.046525,'\'(-inf--1.365132]\'',1.951133,5.4,Iris-setosa
-1.177559,'\'(-1.365132--1.308456]\'',1.028611,5.1,Iris-setosa
-1.177559,'\'(-1.25178--0.203277]\'',1.720502,5.7,Iris-setosa
-1.177559,'\'(-1.308456--1.25178]\'',1.720502,5.1,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',0.797981,5.4,Iris-setosa
-1.046525,'\'(-1.308456--1.25178]\'',1.489872,5.1,Iris-setosa
-1.308593,'\'(-inf--1.365132]\'',1.259242,4.6,Iris-setosa
-0.915491,'\'(-1.25178--0.203277]\'',0.567351,5.1,Iris-setosa
-1.308593,'\'(-1.25178--0.203277]\'',0.797981,4.8,Iris-setosa
