@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.020833]\'','\'(0.020833-0.0625]\'','\'(0.0625-0.1875]\'','\'(0.1875-0.479167]\'','\'(0.479167-0.520833]\'','\'(0.520833-0.604167]\'','\'(0.604167-0.729167]\'','\'(0.729167-0.8125]\'','\'(0.8125-0.895833]\'','\'(0.895833-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(0.020833-0.0625]\'',1.028611,1.4,Iris-setosa
0.166667,'\'(0.020833-0.0625]\'',-0.12454,1.4,Iris-setosa
0.111111,'\'(0.020833-0.0625]\'',0.33672,1.3,Iris-setosa
0.083333,'\'(0.020833-0.0625]\'',0.10609,1.5,Iris-setosa
0.194444,'\'(0.020833-0.0625]\'',1.259242,1.4,Iris-setosa
0.305556,'\'(0.0625-0.1875]\'',1.951133,1.7,Iris-setosa
0.083333,'\'(0.0625-0.1875]\'',0.797981,1.4,Iris-setosa
0.194444,'\'(0.020833-0.0625]\'',0.797981,1.5,Iris-setosa
0.027778,'\'(0.020833-0.0625]\'',-0.355171,1.4,Iris-setosa
0.166667,'\'(-inf-0.020833]\'',0.10609,1.5,Iris-setosa
0.305556,'\'(0.020833-0.0625]\'',1.489872,1.5,Iris-setosa
0.138889,'\'(0.020833-0.0625]\'',0.797981,1.6,Iris-setosa
0.138889,'\'(-inf-0.020833]\'',-0.12454,1.4,Iris-setosa
0,'\'(-inf-0.020833]\'',-0.12454,1.1,Iris-setosa
0.416667,'\'(0.020833-0.0625]\'',2.181763,1.2,Iris-setosa
0.388889,'\'(0.0625-0.1875]\'',3.104284,1.5,Iris-setosa
0.305556,'\'(0.0625-0.1875]\'',1.951133,1.3,Iris-setosa
0.222222,'\'(0.0625-0.1875]\'',1.028611,1.4,Iris-setosa
0.388889,'\'(0.0625-0.1875]\'',1.720502,1.7,Iris-setosa
0.222222,'\'(0.0625-0.1875]\'',1.720502,1.5,Iris-setosa
0.305556,'\'(0.020833-0.0625]\'',0.797981,1.7,Iris-setosa
0.222222,'\'(0.0625-0.1875]\'',1.489872,1.5,Iris-setosa
0.083333,'\'(0.020833-0.0625]\'',1.259242,1,Iris-setosa
0.222222,'\'(0.0625-0.1875]\'',0.567351,1.7,Iris-setosa
0.138889,'\'(0.020833-0.0625]\'',0.797981,1.9,Iris-setosa
0.194444,'\'(0.020833-0.0625]\'',-0.12454,1.6,Iris-setosa
0.194444,'\'(0.0625-0.1875]\'',0.797981,1.6,Iris-setosa
0.25,'\'(0.020833-0.0625]\'',1.028611,1.5,Iris-setosa
0.25,'\'(0.020833-0.0625]\'',0.797981,1.4,Iris-setosa
0.111111,'\'(0.020833-0.0625]\'',0.33672,1.6,Iris-setosa
0.138889,'\'(0.020833-0.0625]\'',0.10609,1.6,Iris-setosa
0.305556,'\'(0.0625-0.1875]\'',0.797981,1.5,Iris-setosa
0.25,'\'(-inf-0.020833]\'',2.412393,1.5,Iris-setosa
0.333333,'\'(0.020833-0.0625]\'',2.643024,1.4,Iris-setosa
0.166667,'\'(-inf-0.020833]\'',0.10609,1.5,Iris-setosa
0.194444,'\'(0.020833-0.0625]\'',0.33672,1.2,Iris-setosa
0.333333,'\'(0.020833-0.0625]\'',1.028611,1.3,Iris-setosa
0.166667,'\'(-inf-0.020833]\'',0.10609,1.5,Iris-setosa
0.027778,'\'(0.020833-0.0625]\'',-0.12454,1.3,Iris-setosa
0.222222,'\'(0.020833-0.0625]\'',0.797981,1.5,Iris-setosa
0.194444,'\'(0.0625-0.1875]\'',1.028611,1.3,Iris-setosa
0.055556,'\'(0.0625-0.1875]\'',-1.738953,1.3,Iris-setosa
0.027778,'\'(0.020833-0.0625]\'',0.33672,1.3,Iris-setosa
0.194444,'\'(0.1875-0.479167]\'',1.028611,1.6,Iris-setosa
0.222222,'\'(0.0625-0.1875]\'',1.720502,1.9,Iris-setosa
0.138889,'\'(0.0625-0.1875]\'',-0.12454,1.4,Iris-setosa
0.222222,'\'(0.020833-0.0625]\'',1.720502,1.6,Iris-setosa
0.083333,'\'(0.020833-0.0625]\'',0.33672,1.4,Iris-setosa
0.277778,'\'(0.020833-0.0625]\'',1.489872,1.5,Iris-setosa
0.194444,'\'(0.020833-0.0625]\'',0.567351,1.4,Iris-setosa
0.75,'\'(0.520833-0.604167]\'',0.33672,4.7,Iris-versicolor
0.583333,'\'(0.520833-0.604167]\'',0.33672,4.5,Iris-versicolor
0.722222,'\'(0.520833-0.604167]\'',0.10609,4.9,Iris-versicolor
0.333333,'\'(0.479167-0.520833]\'',-1.738953,4,Iris-versicolor
0.611111,'\'(0.520833-0.604167]\'',-0.585801,4.6,Iris-versicolor
0.388889,'\'(0.479167-0.520833]\'',-0.585801,4.5,Iris-versicolor
0.555556,'\'(0.604167-0.729167]\'',0.567351,4.7,Iris-versicolor
0.166667,'\'(0.1875-0.479167]\'',-1.508322,3.3,Iris-versicolor
0.638889,'\'(0.479167-0.520833]\'',-0.355171,4.6,Iris-versicolor
0.25,'\'(0.520833-0.604167]\'',-0.816431,3.9,Iris-versicolor
0.194444,'\'(0.1875-0.479167]\'',-2.430844,3.5,Iris-versicolor
0.444444,'\'(0.520833-0.604167]\'',-0.12454,4.2,Iris-versicolor
0.472222,'\'(0.1875-0.479167]\'',-1.969583,4,Iris-versicolor
0.5,'\'(0.520833-0.604167]\'',-0.355171,4.7,Iris-versicolor
0.361111,'\'(0.479167-0.520833]\'',-0.355171,3.6,Iris-versicolor
0.666667,'\'(0.520833-0.604167]\'',0.10609,4.4,Iris-versicolor
0.361111,'\'(0.520833-0.604167]\'',-0.12454,4.5,Iris-versicolor
0.416667,'\'(0.1875-0.479167]\'',-0.816431,4.1,Iris-versicolor
0.527778,'\'(0.520833-0.604167]\'',-1.969583,4.5,Iris-versicolor
0.361111,'\'(0.1875-0.479167]\'',-1.277692,3.9,Iris-versicolor
0.444444,'\'(0.604167-0.729167]\'',0.33672,4.8,Iris-versicolor
0.5,'\'(0.479167-0.520833]\'',-0.585801,4,Iris-versicolor
0.555556,'\'(0.520833-0.604167]\'',-1.277692,4.9,Iris-versicolor
0.5,'\'(0.1875-0.479167]\'',-0.585801,4.7,Iris-versicolor
0.583333,'\'(0.479167-0.520833]\'',-0.355171,4.3,Iris-versicolor
0.638889,'\'(0.520833-0.604167]\'',-0.12454,4.4,Iris-versicolor
0.694444,'\'(0.520833-0.604167]\'',-0.585801,4.8,Iris-versicolor
0.666667,'\'(0.604167-0.729167]\'',-0.12454,5,Iris-versicolor
0.472222,'\'(0.520833-0.604167]\'',-0.355171,4.5,Iris-versicolor
0.388889,'\'(0.1875-0.479167]\'',-1.047062,3.5,Iris-versicolor
0.333333,'\'(0.1875-0.479167]\'',-1.508322,3.8,Iris-versicolor
0.333333,'\'(0.1875-0.479167]\'',-1.508322,3.7,Iris-versicolor
0.416667,'\'(0.1875-0.479167]\'',-0.816431,3.9,Iris-versicolor
0.472222,'\'(0.604167-0.729167]\'',-0.816431,5.1,Iris-versicolor
0.305556,'\'(0.520833-0.604167]\'',-0.12454,4.5,Iris-versicolor
0.472222,'\'(0.604167-0.729167]\'',0.797981,4.5,Iris-versicolor
0.666667,'\'(0.520833-0.604167]\'',0.10609,4.7,Iris-versicolor
0.555556,'\'(0.479167-0.520833]\'',-1.738953,4.4,Iris-versicolor
0.361111,'\'(0.479167-0.520833]\'',-0.12454,4.1,Iris-versicolor
0.333333,'\'(0.479167-0.520833]\'',-1.277692,4,Iris-versicolor
0.333333,'\'(0.1875-0.479167]\'',-1.047062,4.4,Iris-versicolor
0.5,'\'(0.520833-0.604167]\'',-0.12454,4.6,Iris-versicolor
0.416667,'\'(0.1875-0.479167]\'',-1.047062,4,Iris-versicolor
0.194444,'\'(0.1875-0.479167]\'',-1.738953,3.3,Iris-versicolor
0.361111,'\'(0.479167-0.520833]\'',-0.816431,4.2,Iris-versicolor
0.388889,'\'(0.1875-0.479167]\'',-0.12454,4.2,Iris-versicolor
0.388889,'\'(0.479167-0.520833]\'',-0.355171,4.2,Iris-versicolor
0.527778,'\'(0.479167-0.520833]\'',-0.355171,4.3,Iris-versicolor
0.222222,'\'(0.1875-0.479167]\'',-1.277692,3,Iris-versicolor
0.388889,'\'(0.479167-0.520833]\'',-0.585801,4.1,Iris-versicolor
0.555556,'\'(0.895833-inf)\'',0.567351,6,Iris-virginica
0.416667,'\'(0.729167-0.8125]\'',-0.816431,5.1,Iris-virginica
0.777778,'\'(0.8125-0.895833]\'',-0.12454,5.9,Iris-virginica
0.555556,'\'(0.604167-0.729167]\'',-0.355171,5.6,Iris-virginica
0.611111,'\'(0.8125-0.895833]\'',-0.12454,5.8,Iris-virginica
0.916667,'\'(0.8125-0.895833]\'',-0.12454,6.6,Iris-virginica
0.166667,'\'(0.604167-0.729167]\'',-1.277692,4.5,Iris-virginica
