@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,0.041667,1.028611,1.4,Iris-setosa
-1.1392,0.041667,-0.12454,1.4,Iris-setosa
-1.380727,0.041667,0.33672,1.3,Iris-setosa
-1.50149,0.041667,0.10609,1.5,Iris-setosa
-1.018437,0.041667,1.259242,1.4,Iris-setosa
-0.535384,0.125,1.951133,1.7,Iris-setosa
-1.50149,0.083333,0.797981,1.4,Iris-setosa
-1.018437,0.041667,0.797981,1.5,Iris-setosa
-1.743017,0.041667,-0.355171,1.4,Iris-setosa
-1.1392,0,0.10609,1.5,Iris-setosa
-0.535384,0.041667,1.489872,1.5,Iris-setosa
-1.259964,0.041667,0.797981,1.6,Iris-setosa
-1.259964,0,-0.12454,1.4,Iris-setosa
-1.86378,0,-0.12454,1.1,Iris-setosa
-0.052331,0.041667,2.181763,1.2,Iris-setosa
-0.173094,0.125,3.104284,1.5,Iris-setosa
-0.535384,0.125,1.951133,1.3,Iris-setosa
-0.897674,0.083333,1.028611,1.4,Iris-setosa
-0.173094,0.083333,1.720502,1.7,Iris-setosa
-0.897674,0.083333,1.720502,1.5,Iris-setosa
-0.535384,0.041667,0.797981,1.7,Iris-setosa
-0.897674,0.125,1.489872,1.5,Iris-setosa
-1.50149,0.041667,1.259242,1,Iris-setosa
-0.897674,0.166667,0.567351,1.7,Iris-setosa
-1.259964,0.041667,0.797981,1.9,Iris-setosa
-1.018437,0.041667,-0.12454,1.6,Iris-setosa
-1.018437,0.125,0.797981,1.6,Iris-setosa
-0.776911,0.041667,1.028611,1.5,Iris-setosa
-0.776911,0.041667,0.797981,1.4,Iris-setosa
-1.380727,0.041667,0.33672,1.6,Iris-setosa
-1.259964,0.041667,0.10609,1.6,Iris-setosa
-0.535384,0.125,0.797981,1.5,Iris-setosa
-0.776911,0,2.412393,1.5,Iris-setosa
-0.414621,0.041667,2.643024,1.4,Iris-setosa
-1.1392,0,0.10609,1.5,Iris-setosa
-1.018437,0.041667,0.33672,1.2,Iris-setosa
-0.414621,0.041667,1.028611,1.3,Iris-setosa
-1.1392,0,0.10609,1.5,Iris-setosa
-1.743017,0.041667,-0.12454,1.3,Iris-setosa
-0.897674,0.041667,0.797981,1.5,Iris-setosa
-1.018437,0.083333,1.028611,1.3,Iris-setosa
-1.622254,0.083333,-1.738953,1.3,Iris-setosa
-1.743017,0.041667,0.33672,1.3,Iris-setosa
-1.018437,0.208333,1.028611,1.6,Iris-setosa
-0.897674,0.125,1.720502,1.9,Iris-setosa
-1.259964,0.083333,-0.12454,1.4,Iris-setosa
-0.897674,0.041667,1.720502,1.6,Iris-setosa
-1.50149,0.041667,0.33672,1.4,Iris-setosa
-0.656147,0.041667,1.489872,1.5,Iris-setosa
-1.018437,0.041667,0.567351,1.4,Iris-setosa
1.396829,0.541667,0.33672,4.7,Iris-versicolor
0.672249,0.583333,0.33672,4.5,Iris-versicolor
1.276066,0.583333,0.10609,4.9,Iris-versicolor
-0.414621,0.5,-1.738953,4,Iris-versicolor
0.793012,0.583333,-0.585801,4.6,Iris-versicolor
-0.173094,0.5,-0.585801,4.5,Iris-versicolor
0.551486,0.625,0.567351,4.7,Iris-versicolor
-1.1392,0.375,-1.508322,3.3,Iris-versicolor
0.913776,0.5,-0.355171,4.6,Iris-versicolor
-0.776911,0.541667,-0.816431,3.9,Iris-versicolor
-1.018437,0.375,-2.430844,3.5,Iris-versicolor
0.068433,0.583333,-0.12454,4.2,Iris-versicolor
0.189196,0.375,-1.969583,4,Iris-versicolor
0.309959,0.541667,-0.355171,4.7,Iris-versicolor
