@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf--1.125145]\'','\'(-1.125145--0.810664]\'','\'(-0.810664--0.496182]\'','\'(-0.496182--0.1817]\'','\'(-0.1817-0.132781]\'','\'(0.132781-0.447263]\'','\'(0.447263-0.761744]\'','\'(0.761744-1.076226]\'','\'(1.076226-1.390707]\'','\'(1.390707-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(-inf--1.125145]\'',1.028611,1.4,Iris-setosa
0.166667,'\'(-inf--1.125145]\'',-0.12454,1.4,Iris-setosa
0.111111,'\'(-inf--1.125145]\'',0.33672,1.3,Iris-setosa
0.083333,'\'(-inf--1.125145]\'',0.10609,1.5,Iris-setosa
0.194444,'\'(-inf--1.125145]\'',1.259242,1.4,Iris-setosa
0.305556,'\'(-1.125145--0.810664]\'',1.951133,1.7,Iris-setosa
0.083333,'\'(-inf--1.125145]\'',0.797981,1.4,Iris-setosa
0.194444,'\'(-inf--1.125145]\'',0.797981,1.5,Iris-setosa
0.027778,'\'(-inf--1.125145]\'',-0.355171,1.4,Iris-setosa
0.166667,'\'(-inf--1.125145]\'',0.10609,1.5,Iris-setosa
0.305556,'\'(-inf--1.125145]\'',1.489872,1.5,Iris-setosa
0.138889,'\'(-inf--1.125145]\'',0.797981,1.6,Iris-setosa
0.138889,'\'(-inf--1.125145]\'',-0.12454,1.4,Iris-setosa
0,'\'(-inf--1.125145]\'',-0.12454,1.1,Iris-setosa
0.416667,'\'(-inf--1.125145]\'',2.181763,1.2,Iris-setosa
0.388889,'\'(-1.125145--0.810664]\'',3.104284,1.5,Iris-setosa
0.305556,'\'(-1.125145--0.810664]\'',1.951133,1.3,Iris-setosa
0.222222,'\'(-inf--1.125145]\'',1.028611,1.4,Iris-setosa
0.388889,'\'(-inf--1.125145]\'',1.720502,1.7,Iris-setosa
0.222222,'\'(-inf--1.125145]\'',1.720502,1.5,Iris-setosa
0.305556,'\'(-inf--1.125145]\'',0.797981,1.7,Iris-setosa
0.222222,'\'(-1.125145--0.810664]\'',1.489872,1.5,Iris-setosa
0.083333,'\'(-inf--1.125145]\'',1.259242,1,Iris-setosa
0.222222,'\'(-1.125145--0.810664]\'',0.567351,1.7,Iris-setosa
0.138889,'\'(-inf--1.125145]\'',0.797981,1.9,Iris-setosa
0.194444,'\'(-inf--1.125145]\'',-0.12454,1.6,Iris-setosa
0.194444,'\'(-1.125145--0.810664]\'',0.797981,1.6,Iris-setosa
0.25,'\'(-inf--1.125145]\'',1.028611,1.5,Iris-setosa
0.25,'\'(-inf--1.125145]\'',0.797981,1.4,Iris-setosa
0.111111,'\'(-inf--1.125145]\'',0.33672,1.6,Iris-setosa
0.138889,'\'(-inf--1.125145]\'',0.10609,1.6,Iris-setosa
0.305556,'\'(-1.125145--0.810664]\'',0.797981,1.5,Iris-setosa
0.25,'\'(-inf--1.125145]\'',2.412393,1.5,Iris-setosa
0.333333,'\'(-inf--1.125145]\'',2.643024,1.4,Iris-setosa
0.166667,'\'(-inf--1.125145]\'',0.10609,1.5,Iris-setosa
0.194444,'\'(-inf--1.125145]\'',0.33672,1.2,Iris-setosa
0.333333,'\'(-inf--1.125145]\'',1.028611,1.3,Iris-setosa
0.166667,'\'(-inf--1.125145]\'',0.10609,1.5,Iris-setosa
0.027778,'\'(-inf--1.125145]\'',-0.12454,1.3,Iris-setosa
0.222222,'\'(-inf--1.125145]\'',0.797981,1.5,Iris-setosa
0.194444,'\'(-inf--1.125145]\'',1.028611,1.3,Iris-setosa
0.055556,'\'(-inf--1.125145]\'',-1.738953,1.3,Iris-setosa
0.027778,'\'(-inf--1.125145]\'',0.33672,1.3,Iris-setosa
0.194444,'\'(-0.810664--0.496182]\'',1.028611,1.6,Iris-setosa
0.222222,'\'(-1.125145--0.810664]\'',1.720502,1.9,Iris-setosa
0.138889,'\'(-inf--1.125145]\'',-0.12454,1.4,Iris-setosa
0.222222,'\'(-inf--1.125145]\'',1.720502,1.6,Iris-setosa
0.083333,'\'(-inf--1.125145]\'',0.33672,1.4,Iris-setosa
0.277778,'\'(-inf--1.125145]\'',1.489872,1.5,Iris-setosa
0.194444,'\'(-inf--1.125145]\'',0.567351,1.4,Iris-setosa
0.75,'\'(0.132781-0.447263]\'',0.33672,4.7,Iris-versicolor
0.583333,'\'(0.132781-0.447263]\'',0.33672,4.5,Iris-versicolor
0.722222,'\'(0.132781-0.447263]\'',0.10609,4.9,Iris-versicolor
0.333333,'\'(-0.1817-0.132781]\'',-1.738953,4,Iris-versicolor
0.611111,'\'(0.132781-0.447263]\'',-0.585801,4.6,Iris-versicolor
0.388889,'\'(-0.1817-0.132781]\'',-0.585801,4.5,Iris-versicolor
0.555556,'\'(0.447263-0.761744]\'',0.567351,4.7,Iris-versicolor
0.166667,'\'(-0.496182--0.1817]\'',-1.508322,3.3,Iris-versicolor
0.638889,'\'(-0.1817-0.132781]\'',-0.355171,4.6,Iris-versicolor
0.25,'\'(0.132781-0.447263]\'',-0.816431,3.9,Iris-versicolor
0.194444,'\'(-0.496182--0.1817]\'',-2.430844,3.5,Iris-versicolor
0.444444,'\'(0.132781-0.447263]\'',-0.12454,4.2,Iris-versicolor
0.472222,'\'(-0.496182--0.1817]\'',-1.969583,4,Iris-versicolor
0.5,'\'(0.132781-0.447263]\'',-0.355171,4.7,Iris-versicolor
0.361111,'\'(-0.1817-0.132781]\'',-0.355171,3.6,Iris-versicolor
0.666667,'\'(0.132781-0.447263]\'',0.10609,4.4,Iris-versicolor
0.361111,'\'(0.132781-0.447263]\'',-0.12454,4.5,Iris-versicolor
0.416667,'\'(-0.496182--0.1817]\'',-0.816431,4.1,Iris-versicolor
0.527778,'\'(0.132781-0.447263]\'',-1.969583,4.5,Iris-versicolor
0.361111,'\'(-0.1817-0.132781]\'',-1.277692,3.9,Iris-versicolor
0.444444,'\'(0.761744-1.076226]\'',0.33672,4.8,Iris-versicolor
0.5,'\'(-0.1817-0.132781]\'',-0.585801,4,Iris-versicolor
0.555556,'\'(0.132781-0.447263]\'',-1.277692,4.9,Iris-versicolor
0.5,'\'(-0.1817-0.132781]\'',-0.585801,4.7,Iris-versicolor
0.583333,'\'(-0.1817-0.132781]\'',-0.355171,4.3,Iris-versicolor
0.638889,'\'(0.132781-0.447263]\'',-0.12454,4.4,Iris-versicolor
0.694444,'\'(0.132781-0.447263]\'',-0.585801,4.8,Iris-versicolor
0.666667,'\'(0.447263-0.761744]\'',-0.12454,5,Iris-versicolor
0.472222,'\'(0.132781-0.447263]\'',-0.355171,4.5,Iris-versicolor
0.388889,'\'(-0.496182--0.1817]\'',-1.047062,3.5,Iris-versicolor
0.333333,'\'(-0.1817-0.132781]\'',-1.508322,3.8,Iris-versicolor
0.333333,'\'(-0.496182--0.1817]\'',-1.508322,3.7,Iris-versicolor
0.416667,'\'(-0.1817-0.132781]\'',-0.816431,3.9,Iris-versicolor
0.472222,'\'(0.447263-0.761744]\'',-0.816431,5.1,Iris-versicolor
0.305556,'\'(0.132781-0.447263]\'',-0.12454,4.5,Iris-versicolor
0.472222,'\'(0.447263-0.761744]\'',0.797981,4.5,Iris-versicolor
0.666667,'\'(0.132781-0.447263]\'',0.10609,4.7,Iris-versicolor
0.555556,'\'(-0.1817-0.132781]\'',-1.738953,4.4,Iris-versicolor
0.361111,'\'(-0.1817-0.132781]\'',-0.12454,4.1,Iris-versicolor
0.333333,'\'(-0.1817-0.132781]\'',-1.277692,4,Iris-versicolor
0.333333,'\'(-0.1817-0.132781]\'',-1.047062,4.4,Iris-versicolor
0.5,'\'(0.132781-0.447263]\'',-0.12454,4.6,Iris-versicolor
0.416667,'\'(-0.1817-0.132781]\'',-1.047062,4,Iris-versicolor
0.194444,'\'(-0.496182--0.1817]\'',-1.738953,3.3,Iris-versicolor
0.361111,'\'(-0.1817-0.132781]\'',-0.816431,4.2,Iris-versicolor
0.388889,'\'(-0.1817-0.132781]\'',-0.12454,4.2,Iris-versicolor
0.388889,'\'(-0.1817-0.132781]\'',-0.355171,4.2,Iris-versicolor
0.527778,'\'(-0.1817-0.132781]\'',-0.355171,4.3,Iris-versicolor
0.222222,'\'(-0.1817-0.132781]\'',-1.277692,3,Iris-versicolor
0.388889,'\'(-0.1817-0.132781]\'',-0.585801,4.1,Iris-versicolor
0.555556,'\'(1.390707-inf)\'',0.567351,6,Iris-virginica
0.416667,'\'(0.761744-1.076226]\'',-0.816431,5.1,Iris-virginica
0.777778,'\'(1.076226-1.390707]\'',-0.12454,5.9,Iris-virginica
0.555556,'\'(0.761744-1.076226]\'',-0.355171,5.6,Iris-virginica
0.611111,'\'(1.076226-1.390707]\'',-0.12454,5.8,Iris-virginica
0.916667,'\'(1.076226-1.390707]\'',-0.12454,6.6,Iris-virginica
0.166667,'\'(0.447263-0.761744]\'',-1.277692,4.5,Iris-virginica
0.833333,'\'(0.761744-1.076226]\'',-0.355171,6.3,Iris-virginica
0.666667,'\'(0.761744-1.076226]\'',-1.277692,5.8,Iris-virginica
0.805556,'\'(1.390707-inf)\'',1.259242,6.1,Iris-virginica
0.611111,'\'(0.761744-1.076226]\'',0.33672,5.1,Iris-virginica
0.583333,'\'(0.761744-1.076226]\'',-0.816431,5.3,Iris-virginica
0.694444,'\'(1.076226-1.390707]\'',-0.12454,5.5,Iris-virginica
0.388889,'\'(0.761744-1.076226]\'',-1.277692,5,Iris-virginica
0.416667,'\'(1.390707-inf)\'',-0.585801,5.1,Iris-virginica
0.583333,'\'(1.390707-inf)\'',0.33672,5.3,Iris-virginica
0.611111,'\'(0.761744-1.076226]\'',-0.12454,5.5,Iris-virginica
0.944444,'\'(1.076226-1.390707]\'',1.720502,6.7,Iris-virginica
0.944444,'\'(1.390707-inf)\'',-1.047062,6.9,Iris-virginica
0.472222,'\'(0.132781-0.447263]\'',-1.969583,5,Iris-virginica
0.722222,'\'(1.390707-inf)\'',0.33672,5.7,Iris-virginica
0.361111,'\'(0.761744-1.076226]\'',-0.585801,4.9,Iris-virginica
0.944444,'\'(0.761744-1.076226]\'',-0.585801,6.7,Iris-virginica
0.555556,'\'(0.761744-1.076226]\'',-0.816431,4.9,Iris-virginica
0.666667,'\'(1.076226-1.390707]\'',0.567351,5.7,Iris-virginica
0.805556,'\'(0.761744-1.076226]\'',0.33672,6,Iris-virginica
0.527778,'\'(0.761744-1.076226]\'',-0.585801,4.8,Iris-virginica
0.5,'\'(0.761744-1.076226]\'',-0.12454,4.9,Iris-virginica
0.583333,'\'(1.076226-1.390707]\'',-0.585801,5.6,Iris-virginica
0.805556,'\'(0.447263-0.761744]\'',-0.12454,5.8,Iris-virginica
0.861111,'\'(0.761744-1.076226]\'',-0.585801,6.1,Iris-virginica
1,'\'(0.761744-1.076226]\'',1.720502,6.4,Iris-virginica
0.583333,'\'(1.076226-1.390707]\'',-0.585801,5.6,Iris-virginica
0.555556,'\'(0.132781-0.447263]\'',-0.585801,5.1,Iris-virginica
0.5,'\'(0.132781-0.447263]\'',-1.047062,5.6,Iris-virginica
0.944444,'\'(1.390707-inf)\'',-0.12454,6.1,Iris-virginica
0.555556,'\'(1.390707-inf)\'',0.797981,5.6,Iris-virginica
0.583333,'\'(0.761744-1.076226]\'',0.10609,5.5,Iris-virginica
0.472222,'\'(0.761744-1.076226]\'',-0.12454,4.8,Iris-virginica
0.722222,'\'(1.076226-1.390707]\'',0.10609,5.4,Iris-virginica
0.666667,'\'(1.390707-inf)\'',0.10609,5.6,Iris-virginica
0.722222,'\'(1.390707-inf)\'',0.10609,5.1,Iris-virginica
0.416667,'\'(0.761744-1.076226]\'',-0.816431,5.1,Iris-virginica
0.694444,'\'(1.390707-inf)\'',0.33672,5.9,Iris-virginica
0.666667,'\'(1.390707-inf)\'',0.567351,5.7,Iris-virginica
