@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf--1.125145]\'','\'(-1.125145--0.810664]\'','\'(-0.810664--0.496182]\'','\'(-0.496182--0.1817]\'','\'(-0.1817-0.132781]\'','\'(0.132781-0.447263]\'','\'(0.447263-0.761744]\'','\'(0.761744-1.076226]\'','\'(1.076226-1.390707]\'','\'(1.390707-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,'\'(-inf--1.125145]\'',1.028611,1.4,Iris-setosa
-1.1392,'\'(-inf--1.125145]\'',-0.12454,1.4,Iris-setosa
-1.380727,'\'(-inf--1.125145]\'',0.33672,1.3,Iris-setosa
-1.50149,'\'(-inf--1.125145]\'',0.10609,1.5,Iris-setosa
-1.018437,'\'(-inf--1.125145]\'',1.259242,1.4,Iris-setosa
-0.535384,'\'(-1.125145--0.810664]\'',1.951133,1.7,Iris-setosa
-1.50149,'\'(-inf--1.125145]\'',0.797981,1.4,Iris-setosa
-1.018437,'\'(-inf--1.125145]\'',0.797981,1.5,Iris-setosa
-1.743017,'\'(-inf--1.125145]\'',-0.355171,1.4,Iris-setosa
-1.1392,'\'(-inf--1.125145]\'',0.10609,1.5,Iris-setosa
-0.535384,'\'(-inf--1.125145]\'',1.489872,1.5,Iris-setosa
-1.259964,'\'(-inf--1.125145]\'',0.797981,1.6,Iris-setosa
-1.259964,'\'(-inf--1.125145]\'',-0.12454,1.4,Iris-setosa
-1.86378,'\'(-inf--1.125145]\'',-0.12454,1.1,Iris-setosa
-0.052331,'\'(-inf--1.125145]\'',2.181763,1.2,Iris-setosa
