@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,0.067797,'\'(3.44-3.68]\'',5.1,Iris-setosa
0.041667,0.067797,'\'(2.96-3.2]\'',4.9,Iris-setosa
0.041667,0.050847,'\'(2.96-3.2]\'',4.7,Iris-setosa
0.041667,0.084746,'\'(2.96-3.2]\'',4.6,Iris-setosa
0.041667,0.067797,'\'(3.44-3.68]\'',5,Iris-setosa
0.125,0.118644,'\'(3.68-3.92]\'',5.4,Iris-setosa
0.083333,0.067797,'\'(3.2-3.44]\'',4.6,Iris-setosa
0.041667,0.084746,'\'(3.2-3.44]\'',5,Iris-setosa
0.041667,0.067797,'\'(2.72-2.96]\'',4.4,Iris-setosa
0,0.084746,'\'(2.96-3.2]\'',4.9,Iris-setosa
0.041667,0.084746,'\'(3.68-3.92]\'',5.4,Iris-setosa
0.041667,0.101695,'\'(3.2-3.44]\'',4.8,Iris-setosa
0,0.067797,'\'(2.96-3.2]\'',4.8,Iris-setosa
0,0.016949,'\'(2.96-3.2]\'',4.3,Iris-setosa
0.041667,0.033898,'\'(3.92-4.16]\'',5.8,Iris-setosa
0.125,0.084746,'\'(4.16-inf)\'',5.7,Iris-setosa
0.125,0.050847,'\'(3.68-3.92]\'',5.4,Iris-setosa
0.083333,0.067797,'\'(3.44-3.68]\'',5.1,Iris-setosa
0.083333,0.118644,'\'(3.68-3.92]\'',5.7,Iris-setosa
0.083333,0.084746,'\'(3.68-3.92]\'',5.1,Iris-setosa
0.041667,0.118644,'\'(3.2-3.44]\'',5.4,Iris-setosa
0.125,0.084746,'\'(3.68-3.92]\'',5.1,Iris-setosa
0.041667,0,'\'(3.44-3.68]\'',4.6,Iris-setosa
0.166667,0.118644,'\'(3.2-3.44]\'',5.1,Iris-setosa
0.041667,0.152542,'\'(3.2-3.44]\'',4.8,Iris-setosa
0.041667,0.101695,'\'(2.96-3.2]\'',5,Iris-setosa
0.125,0.101695,'\'(3.2-3.44]\'',5,Iris-setosa
0.041667,0.084746,'\'(3.44-3.68]\'',5.2,Iris-setosa
0.041667,0.067797,'\'(3.2-3.44]\'',5.2,Iris-setosa
0.041667,0.101695,'\'(2.96-3.2]\'',4.7,Iris-setosa
0.041667,0.101695,'\'(2.96-3.2]\'',4.8,Iris-setosa
0.125,0.084746,'\'(3.2-3.44]\'',5.4,Iris-setosa
0,0.084746,'\'(3.92-4.16]\'',5.2,Iris-setosa
0.041667,0.067797,'\'(4.16-inf)\'',5.5,Iris-setosa
0,0.084746,'\'(2.96-3.2]\'',4.9,Iris-setosa
0.041667,0.033898,'\'(2.96-3.2]\'',5,Iris-setosa
0.041667,0.050847,'\'(3.44-3.68]\'',5.5,Iris-setosa
0,0.084746,'\'(2.96-3.2]\'',4.9,Iris-setosa
0.041667,0.050847,'\'(2.96-3.2]\'',4.4,Iris-setosa
0.041667,0.084746,'\'(3.2-3.44]\'',5.1,Iris-setosa
0.083333,0.050847,'\'(3.44-3.68]\'',5,Iris-setosa
0.083333,0.050847,'\'(2.24-2.48]\'',4.5,Iris-setosa
0.041667,0.050847,'\'(2.96-3.2]\'',4.4,Iris-setosa
0.208333,0.101695,'\'(3.44-3.68]\'',5,Iris-setosa
0.125,0.152542,'\'(3.68-3.92]\'',5.1,Iris-setosa
0.083333,0.067797,'\'(2.96-3.2]\'',4.8,Iris-setosa
0.041667,0.101695,'\'(3.68-3.92]\'',5.1,Iris-setosa
0.041667,0.067797,'\'(2.96-3.2]\'',4.6,Iris-setosa
0.041667,0.084746,'\'(3.68-3.92]\'',5.3,Iris-setosa
0.041667,0.067797,'\'(3.2-3.44]\'',5,Iris-setosa
0.541667,0.627119,'\'(2.96-3.2]\'',7,Iris-versicolor
0.583333,0.59322,'\'(2.96-3.2]\'',6.4,Iris-versicolor
0.583333,0.661017,'\'(2.96-3.2]\'',6.9,Iris-versicolor
0.5,0.508475,'\'(2.24-2.48]\'',5.5,Iris-versicolor
0.583333,0.610169,'\'(2.72-2.96]\'',6.5,Iris-versicolor
0.5,0.59322,'\'(2.72-2.96]\'',5.7,Iris-versicolor
0.625,0.627119,'\'(3.2-3.44]\'',6.3,Iris-versicolor
0.375,0.389831,'\'(2.24-2.48]\'',4.9,Iris-versicolor
0.5,0.610169,'\'(2.72-2.96]\'',6.6,Iris-versicolor
0.541667,0.491525,'\'(2.48-2.72]\'',5.2,Iris-versicolor
0.375,0.423729,'\'(-inf-2.24]\'',5,Iris-versicolor
0.583333,0.542373,'\'(2.96-3.2]\'',5.9,Iris-versicolor
0.375,0.508475,'\'(-inf-2.24]\'',6,Iris-versicolor
0.541667,0.627119,'\'(2.72-2.96]\'',6.1,Iris-versicolor
0.5,0.440678,'\'(2.72-2.96]\'',5.6,Iris-versicolor
0.541667,0.576271,'\'(2.96-3.2]\'',6.7,Iris-versicolor
0.583333,0.59322,'\'(2.96-3.2]\'',5.6,Iris-versicolor
0.375,0.525424,'\'(2.48-2.72]\'',5.8,Iris-versicolor
0.583333,0.59322,'\'(-inf-2.24]\'',6.2,Iris-versicolor
0.416667,0.491525,'\'(2.48-2.72]\'',5.6,Iris-versicolor
0.708333,0.644068,'\'(2.96-3.2]\'',5.9,Iris-versicolor
0.5,0.508475,'\'(2.72-2.96]\'',6.1,Iris-versicolor
0.583333,0.661017,'\'(2.48-2.72]\'',6.3,Iris-versicolor
0.458333,0.627119,'\'(2.72-2.96]\'',6.1,Iris-versicolor
0.5,0.559322,'\'(2.72-2.96]\'',6.4,Iris-versicolor
