@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,'\'(-inf-0.1]\'','\'(3.44-3.68]\'',5.1,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(2.96-3.2]\'',4.9,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(2.96-3.2]\'',4.7,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(2.96-3.2]\'',4.6,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(3.44-3.68]\'',5,Iris-setosa
-1.046525,'\'(0.1-0.2]\'','\'(3.68-3.92]\'',5.4,Iris-setosa
-1.177559,'\'(-inf-0.1]\'','\'(3.2-3.44]\'',4.6,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(3.2-3.44]\'',5,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(2.72-2.96]\'',4.4,Iris-setosa
-1.439627,'\'(-inf-0.1]\'','\'(2.96-3.2]\'',4.9,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(3.68-3.92]\'',5.4,Iris-setosa
-1.308593,'\'(0.1-0.2]\'','\'(3.2-3.44]\'',4.8,Iris-setosa
-1.439627,'\'(-inf-0.1]\'','\'(2.96-3.2]\'',4.8,Iris-setosa
-1.439627,'\'(-inf-0.1]\'','\'(2.96-3.2]\'',4.3,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(3.92-4.16]\'',5.8,Iris-setosa
-1.046525,'\'(-inf-0.1]\'','\'(4.16-inf)\'',5.7,Iris-setosa
-1.046525,'\'(-inf-0.1]\'','\'(3.68-3.92]\'',5.4,Iris-setosa
-1.177559,'\'(-inf-0.1]\'','\'(3.44-3.68]\'',5.1,Iris-setosa
-1.177559,'\'(0.1-0.2]\'','\'(3.68-3.92]\'',5.7,Iris-setosa
-1.177559,'\'(-inf-0.1]\'','\'(3.68-3.92]\'',5.1,Iris-setosa
-1.308593,'\'(0.1-0.2]\'','\'(3.2-3.44]\'',5.4,Iris-setosa
-1.046525,'\'(-inf-0.1]\'','\'(3.68-3.92]\'',5.1,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(3.44-3.68]\'',4.6,Iris-setosa
-0.915491,'\'(0.1-0.2]\'','\'(3.2-3.44]\'',5.1,Iris-setosa
-1.308593,'\'(0.1-0.2]\'','\'(3.2-3.44]\'',4.8,Iris-setosa
-1.308593,'\'(0.1-0.2]\'','\'(2.96-3.2]\'',5,Iris-setosa
-1.046525,'\'(0.1-0.2]\'','\'(3.2-3.44]\'',5,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(3.44-3.68]\'',5.2,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(3.2-3.44]\'',5.2,Iris-setosa
-1.308593,'\'(0.1-0.2]\'','\'(2.96-3.2]\'',4.7,Iris-setosa
-1.308593,'\'(0.1-0.2]\'','\'(2.96-3.2]\'',4.8,Iris-setosa
-1.046525,'\'(-inf-0.1]\'','\'(3.2-3.44]\'',5.4,Iris-setosa
-1.439627,'\'(-inf-0.1]\'','\'(3.92-4.16]\'',5.2,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(4.16-inf)\'',5.5,Iris-setosa
-1.439627,'\'(-inf-0.1]\'','\'(2.96-3.2]\'',4.9,Iris-setosa
-1.308593,'\'(-inf-0.1]\'','\'(2.96-3.2]\'',5,Iris-setosa
