@relation iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1

@attribute 'filtered-0-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-1.308593,5.1,3.5,1.4,Iris-setosa
-1.308593,4.9,3,1.4,Iris-setosa
-1.308593,4.7,3.2,1.3,Iris-setosa
-1.308593,4.6,3.1,1.5,Iris-setosa
-1.308593,5,3.6,1.4,Iris-setosa
-1.046525,5.4,3.9,1.7,Iris-setosa
-1.177559,4.6,3.4,1.4,Iris-setosa
-1.308593,5,3.4,1.5,Iris-setosa
-1.308593,4.4,2.9,1.4,Iris-setosa
-1.439627,4.9,3.1,1.5,Iris-setosa
-1.308593,5.4,3.7,1.5,Iris-setosa
-1.308593,4.8,3.4,1.6,Iris-setosa
-1.439627,4.8,3,1.4,Iris-setosa
-1.439627,4.3,3,1.1,Iris-setosa
-1.308593,5.8,4,1.2,Iris-setosa
-1.046525,5.7,4.4,1.5,Iris-setosa
-1.046525,5.4,3.9,1.3,Iris-setosa
-1.177559,5.1,3.5,1.4,Iris-setosa
-1.177559,5.7,3.8,1.7,Iris-setosa
-1.177559,5.1,3.8,1.5,Iris-setosa
-1.308593,5.4,3.4,1.7,Iris-setosa
-1.046525,5.1,3.7,1.5,Iris-setosa
-1.308593,4.6,3.6,1,Iris-setosa
-0.915491,5.1,3.3,1.7,Iris-setosa
-1.308593,4.8,3.4,1.9,Iris-setosa
-1.308593,5,3,1.6,Iris-setosa
-1.046525,5,3.4,1.6,Iris-setosa
-1.308593,5.2,3.5,1.5,Iris-setosa
-1.308593,5.2,3.4,1.4,Iris-setosa
-1.308593,4.7,3.2,1.6,Iris-setosa
-1.308593,4.8,3.1,1.6,Iris-setosa
-1.046525,5.4,3.4,1.5,Iris-setosa
-1.439627,5.2,4.1,1.5,Iris-setosa
-1.308593,5.5,4.2,1.4,Iris-setosa
-1.439627,4.9,3.1,1.5,Iris-setosa
-1.308593,5,3.2,1.2,Iris-setosa
-1.308593,5.5,3.5,1.3,Iris-setosa
-1.439627,4.9,3.1,1.5,Iris-setosa
-1.308593,4.4,3,1.3,Iris-setosa
-1.308593,5.1,3.4,1.5,Iris-setosa
-1.177559,5,3.5,1.3,Iris-setosa
-1.177559,4.5,2.3,1.3,Iris-setosa
-1.308593,4.4,3.2,1.3,Iris-setosa
-0.784457,5,3.5,1.6,Iris-setosa
-1.046525,5.1,3.8,1.9,Iris-setosa
-1.177559,4.8,3,1.4,Iris-setosa
-1.308593,5.1,3.8,1.6,Iris-setosa
-1.308593,4.6,3.2,1.4,Iris-setosa
-1.308593,5.3,3.7,1.5,Iris-setosa
-1.308593,5,3.3,1.4,Iris-setosa
0.263815,7,3.2,4.7,Iris-versicolor
0.394849,6.4,3.2,4.5,Iris-versicolor
0.394849,6.9,3.1,4.9,Iris-versicolor
0.132781,5.5,2.3,4,Iris-versicolor
0.394849,6.5,2.8,4.6,Iris-versicolor
0.132781,5.7,2.8,4.5,Iris-versicolor
0.525883,6.3,3.3,4.7,Iris-versicolor
-0.260321,4.9,2.4,3.3,Iris-versicolor
0.132781,6.6,2.9,4.6,Iris-versicolor
0.263815,5.2,2.7,3.9,Iris-versicolor
-0.260321,5,2,3.5,Iris-versicolor
0.394849,5.9,3,4.2,Iris-versicolor
-0.260321,6,2.2,4,Iris-versicolor
0.263815,6.1,2.9,4.7,Iris-versicolor
0.132781,5.6,2.9,3.6,Iris-versicolor
0.263815,6.7,3.1,4.4,Iris-versicolor
0.394849,5.6,3,4.5,Iris-versicolor
-0.260321,5.8,2.7,4.1,Iris-versicolor
0.394849,6.2,2.2,4.5,Iris-versicolor
-0.129287,5.6,2.5,3.9,Iris-versicolor
0.787951,5.9,3.2,4.8,Iris-versicolor
0.132781,6.1,2.8,4,Iris-versicolor
0.394849,6.3,2.5,4.9,Iris-versicolor
0.001747,6.1,2.8,4.7,Iris-versicolor
0.132781,6.4,2.9,4.3,Iris-versicolor
0.263815,6.6,3,4.4,Iris-versicolor
0.263815,6.8,2.8,4.8,Iris-versicolor
0.656917,6.7,3,5,Iris-versicolor
0.394849,6,2.9,4.5,Iris-versicolor
-0.260321,5.7,2.6,3.5,Iris-versicolor
-0.129287,5.5,2.4,3.8,Iris-versicolor
-0.260321,5.5,2.4,3.7,Iris-versicolor
0.001747,5.8,2.7,3.9,Iris-versicolor
0.525883,6,2.7,5.1,Iris-versicolor
0.394849,5.4,3,4.5,Iris-versicolor
0.525883,6,3.4,4.5,Iris-versicolor
0.394849,6.7,3.1,4.7,Iris-versicolor
0.132781,6.3,2.3,4.4,Iris-versicolor
0.132781,5.6,3,4.1,Iris-versicolor
0.132781,5.5,2.5,4,Iris-versicolor
0.001747,5.5,2.6,4.4,Iris-versicolor
0.263815,6.1,3,4.6,Iris-versicolor
0.001747,5.8,2.6,4,Iris-versicolor
-0.260321,5,2.3,3.3,Iris-versicolor
0.132781,5.6,2.7,4.2,Iris-versicolor
0.001747,5.7,3,4.2,Iris-versicolor
0.132781,5.7,2.9,4.2,Iris-versicolor
0.132781,6.2,2.9,4.3,Iris-versicolor
-0.129287,5.1,2.5,3,Iris-versicolor
0.132781,5.7,2.8,4.1,Iris-versicolor
1.705189,6.3,3.3,6,Iris-virginica
0.918985,5.8,2.7,5.1,Iris-virginica
1.181053,7.1,3,5.9,Iris-virginica
0.787951,6.3,2.9,5.6,Iris-virginica
1.312087,6.5,3,5.8,Iris-virginica
1.181053,7.6,3,6.6,Iris-virginica
0.656917,4.9,2.5,4.5,Iris-virginica
0.787951,7.3,2.9,6.3,Iris-virginica
0.787951,6.7,2.5,5.8,Iris-virginica
1.705189,7.2,3.6,6.1,Iris-virginica
1.050019,6.5,3.2,5.1,Iris-virginica
0.918985,6.4,2.7,5.3,Iris-virginica
1.181053,6.8,3,5.5,Iris-virginica
1.050019,5.7,2.5,5,Iris-virginica
1.574155,5.8,2.8,5.1,Iris-virginica
1.443121,6.4,3.2,5.3,Iris-virginica
0.787951,6.5,3,5.5,Iris-virginica
1.312087,7.7,3.8,6.7,Iris-virginica
1.443121,7.7,2.6,6.9,Iris-virginica
0.394849,6,2.2,5,Iris-virginica
1.443121,6.9,3.2,5.7,Iris-virginica
1.050019,5.6,2.8,4.9,Iris-virginica
1.050019,7.7,2.8,6.7,Iris-virginica
0.787951,6.3,2.7,4.9,Iris-virginica
