@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'','\'(1.35-1.45]\'','\'(3.44-3.68]\'',5.1,Iris-setosa
'\'(-inf-0.34]\'','\'(1.35-1.45]\'','\'(2.96-3.2]\'',4.9,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.35]\'','\'(2.96-3.2]\'',4.7,Iris-setosa
'\'(-inf-0.34]\'','\'(1.45-1.55]\'','\'(2.96-3.2]\'',4.6,Iris-setosa
'\'(-inf-0.34]\'','\'(1.35-1.45]\'','\'(3.44-3.68]\'',5,Iris-setosa
'\'(0.34-0.58]\'','\'(1.55-3.4]\'','\'(3.68-3.92]\'',5.4,Iris-setosa
'\'(-inf-0.34]\'','\'(1.35-1.45]\'','\'(3.2-3.44]\'',4.6,Iris-setosa
'\'(-inf-0.34]\'','\'(1.45-1.55]\'','\'(3.2-3.44]\'',5,Iris-setosa
'\'(-inf-0.34]\'','\'(1.35-1.45]\'','\'(2.72-2.96]\'',4.4,Iris-setosa
'\'(-inf-0.34]\'','\'(1.45-1.55]\'','\'(2.96-3.2]\'',4.9,Iris-setosa
'\'(-inf-0.34]\'','\'(1.45-1.55]\'','\'(3.68-3.92]\'',5.4,Iris-setosa
'\'(-inf-0.34]\'','\'(1.55-3.4]\'','\'(3.2-3.44]\'',4.8,Iris-setosa
'\'(-inf-0.34]\'','\'(1.35-1.45]\'','\'(2.96-3.2]\'',4.8,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.35]\'','\'(2.96-3.2]\'',4.3,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.35]\'','\'(3.92-4.16]\'',5.8,Iris-setosa
'\'(0.34-0.58]\'','\'(1.45-1.55]\'','\'(4.16-inf)\'',5.7,Iris-setosa
