@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,0.041667,'\'(3.45-3.75]\'',1.4,Iris-setosa
0.166667,0.041667,'\'(2.95-3.05]\'',1.4,Iris-setosa
0.111111,0.041667,'\'(3.15-3.25]\'',1.3,Iris-setosa
0.083333,0.041667,'\'(3.05-3.15]\'',1.5,Iris-setosa
0.194444,0.041667,'\'(3.45-3.75]\'',1.4,Iris-setosa
0.305556,0.125,'\'(3.75-inf)\'',1.7,Iris-setosa
0.083333,0.083333,'\'(3.25-3.45]\'',1.4,Iris-setosa
0.194444,0.041667,'\'(3.25-3.45]\'',1.5,Iris-setosa
0.027778,0.041667,'\'(2.85-2.95]\'',1.4,Iris-setosa
0.166667,0,'\'(3.05-3.15]\'',1.5,Iris-setosa
0.305556,0.041667,'\'(3.45-3.75]\'',1.5,Iris-setosa
0.138889,0.041667,'\'(3.25-3.45]\'',1.6,Iris-setosa
0.138889,0,'\'(2.95-3.05]\'',1.4,Iris-setosa
0,0,'\'(2.95-3.05]\'',1.1,Iris-setosa
0.416667,0.041667,'\'(3.75-inf)\'',1.2,Iris-setosa
0.388889,0.125,'\'(3.75-inf)\'',1.5,Iris-setosa
0.305556,0.125,'\'(3.75-inf)\'',1.3,Iris-setosa
0.222222,0.083333,'\'(3.45-3.75]\'',1.4,Iris-setosa
0.388889,0.083333,'\'(3.75-inf)\'',1.7,Iris-setosa
0.222222,0.083333,'\'(3.75-inf)\'',1.5,Iris-setosa
0.305556,0.041667,'\'(3.25-3.45]\'',1.7,Iris-setosa
0.222222,0.125,'\'(3.45-3.75]\'',1.5,Iris-setosa
0.083333,0.041667,'\'(3.45-3.75]\'',1,Iris-setosa
0.222222,0.166667,'\'(3.25-3.45]\'',1.7,Iris-setosa
0.138889,0.041667,'\'(3.25-3.45]\'',1.9,Iris-setosa
0.194444,0.041667,'\'(2.95-3.05]\'',1.6,Iris-setosa
0.194444,0.125,'\'(3.25-3.45]\'',1.6,Iris-setosa
0.25,0.041667,'\'(3.45-3.75]\'',1.5,Iris-setosa
0.25,0.041667,'\'(3.25-3.45]\'',1.4,Iris-setosa
0.111111,0.041667,'\'(3.15-3.25]\'',1.6,Iris-setosa
0.138889,0.041667,'\'(3.05-3.15]\'',1.6,Iris-setosa
0.305556,0.125,'\'(3.25-3.45]\'',1.5,Iris-setosa
0.25,0,'\'(3.75-inf)\'',1.5,Iris-setosa
0.333333,0.041667,'\'(3.75-inf)\'',1.4,Iris-setosa
0.166667,0,'\'(3.05-3.15]\'',1.5,Iris-setosa
0.194444,0.041667,'\'(3.15-3.25]\'',1.2,Iris-setosa
0.333333,0.041667,'\'(3.45-3.75]\'',1.3,Iris-setosa
0.166667,0,'\'(3.05-3.15]\'',1.5,Iris-setosa
0.027778,0.041667,'\'(2.95-3.05]\'',1.3,Iris-setosa
0.222222,0.041667,'\'(3.25-3.45]\'',1.5,Iris-setosa
0.194444,0.083333,'\'(3.45-3.75]\'',1.3,Iris-setosa
0.055556,0.083333,'\'(-inf-2.55]\'',1.3,Iris-setosa
0.027778,0.041667,'\'(3.15-3.25]\'',1.3,Iris-setosa
0.194444,0.208333,'\'(3.45-3.75]\'',1.6,Iris-setosa
0.222222,0.125,'\'(3.75-inf)\'',1.9,Iris-setosa
0.138889,0.083333,'\'(2.95-3.05]\'',1.4,Iris-setosa
0.222222,0.041667,'\'(3.75-inf)\'',1.6,Iris-setosa
0.083333,0.041667,'\'(3.15-3.25]\'',1.4,Iris-setosa
0.277778,0.041667,'\'(3.45-3.75]\'',1.5,Iris-setosa
0.194444,0.041667,'\'(3.25-3.45]\'',1.4,Iris-setosa
0.75,0.541667,'\'(3.15-3.25]\'',4.7,Iris-versicolor
0.583333,0.583333,'\'(3.15-3.25]\'',4.5,Iris-versicolor
0.722222,0.583333,'\'(3.05-3.15]\'',4.9,Iris-versicolor
