@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.020833]\'','\'(0.020833-0.0625]\'','\'(0.0625-0.1875]\'','\'(0.1875-0.479167]\'','\'(0.479167-0.520833]\'','\'(0.520833-0.604167]\'','\'(0.604167-0.729167]\'','\'(0.729167-0.8125]\'','\'(0.8125-0.895833]\'','\'(0.895833-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,'\'(0.020833-0.0625]\'','\'(3.45-3.75]\'',1.4,Iris-setosa
-1.1392,'\'(0.020833-0.0625]\'','\'(2.95-3.05]\'',1.4,Iris-setosa
-1.380727,'\'(0.020833-0.0625]\'','\'(3.15-3.25]\'',1.3,Iris-setosa
-1.50149,'\'(0.020833-0.0625]\'','\'(3.05-3.15]\'',1.5,Iris-setosa
-1.018437,'\'(0.020833-0.0625]\'','\'(3.45-3.75]\'',1.4,Iris-setosa
-0.535384,'\'(0.0625-0.1875]\'','\'(3.75-inf)\'',1.7,Iris-setosa
-1.50149,'\'(0.0625-0.1875]\'','\'(3.25-3.45]\'',1.4,Iris-setosa
-1.018437,'\'(0.020833-0.0625]\'','\'(3.25-3.45]\'',1.5,Iris-setosa
-1.743017,'\'(0.020833-0.0625]\'','\'(2.85-2.95]\'',1.4,Iris-setosa
-1.1392,'\'(-inf-0.020833]\'','\'(3.05-3.15]\'',1.5,Iris-setosa
-0.535384,'\'(0.020833-0.0625]\'','\'(3.45-3.75]\'',1.5,Iris-setosa
-1.259964,'\'(0.020833-0.0625]\'','\'(3.25-3.45]\'',1.6,Iris-setosa
-1.259964,'\'(-inf-0.020833]\'','\'(2.95-3.05]\'',1.4,Iris-setosa
-1.86378,'\'(-inf-0.020833]\'','\'(2.95-3.05]\'',1.1,Iris-setosa
-0.052331,'\'(0.020833-0.0625]\'','\'(3.75-inf)\'',1.2,Iris-setosa
-0.173094,'\'(0.0625-0.1875]\'','\'(3.75-inf)\'',1.5,Iris-setosa
-0.535384,'\'(0.0625-0.1875]\'','\'(3.75-inf)\'',1.3,Iris-setosa
-0.897674,'\'(0.0625-0.1875]\'','\'(3.45-3.75]\'',1.4,Iris-setosa
-0.173094,'\'(0.0625-0.1875]\'','\'(3.75-inf)\'',1.7,Iris-setosa
-0.897674,'\'(0.0625-0.1875]\'','\'(3.75-inf)\'',1.5,Iris-setosa
-0.535384,'\'(0.020833-0.0625]\'','\'(3.25-3.45]\'',1.7,Iris-setosa
-0.897674,'\'(0.0625-0.1875]\'','\'(3.45-3.75]\'',1.5,Iris-setosa
-1.50149,'\'(0.020833-0.0625]\'','\'(3.45-3.75]\'',1,Iris-setosa
-0.897674,'\'(0.0625-0.1875]\'','\'(3.25-3.45]\'',1.7,Iris-setosa
-1.259964,'\'(0.020833-0.0625]\'','\'(3.25-3.45]\'',1.9,Iris-setosa
-1.018437,'\'(0.020833-0.0625]\'','\'(2.95-3.05]\'',1.6,Iris-setosa
-1.018437,'\'(0.0625-0.1875]\'','\'(3.25-3.45]\'',1.6,Iris-setosa
-0.776911,'\'(0.020833-0.0625]\'','\'(3.45-3.75]\'',1.5,Iris-setosa
-0.776911,'\'(0.020833-0.0625]\'','\'(3.25-3.45]\'',1.4,Iris-setosa
-1.380727,'\'(0.020833-0.0625]\'','\'(3.15-3.25]\'',1.6,Iris-setosa
-1.259964,'\'(0.020833-0.0625]\'','\'(3.05-3.15]\'',1.6,Iris-setosa
-0.535384,'\'(0.0625-0.1875]\'','\'(3.25-3.45]\'',1.5,Iris-setosa
-0.776911,'\'(-inf-0.020833]\'','\'(3.75-inf)\'',1.5,Iris-setosa
-0.414621,'\'(0.020833-0.0625]\'','\'(3.75-inf)\'',1.4,Iris-setosa
-1.1392,'\'(-inf-0.020833]\'','\'(3.05-3.15]\'',1.5,Iris-setosa
-1.018437,'\'(0.020833-0.0625]\'','\'(3.15-3.25]\'',1.2,Iris-setosa
-0.414621,'\'(0.020833-0.0625]\'','\'(3.45-3.75]\'',1.3,Iris-setosa
-1.1392,'\'(-inf-0.020833]\'','\'(3.05-3.15]\'',1.5,Iris-setosa
-1.743017,'\'(0.020833-0.0625]\'','\'(2.95-3.05]\'',1.3,Iris-setosa
-0.897674,'\'(0.020833-0.0625]\'','\'(3.25-3.45]\'',1.5,Iris-setosa
-1.018437,'\'(0.0625-0.1875]\'','\'(3.45-3.75]\'',1.3,Iris-setosa
-1.622254,'\'(0.0625-0.1875]\'','\'(-inf-2.55]\'',1.3,Iris-setosa
-1.743017,'\'(0.020833-0.0625]\'','\'(3.15-3.25]\'',1.3,Iris-setosa
-1.018437,'\'(0.1875-0.479167]\'','\'(3.45-3.75]\'',1.6,Iris-setosa
-0.897674,'\'(0.0625-0.1875]\'','\'(3.75-inf)\'',1.9,Iris-setosa
-1.259964,'\'(0.0625-0.1875]\'','\'(2.95-3.05]\'',1.4,Iris-setosa
-0.897674,'\'(0.020833-0.0625]\'','\'(3.75-inf)\'',1.6,Iris-setosa
-1.50149,'\'(0.020833-0.0625]\'','\'(3.15-3.25]\'',1.4,Iris-setosa
-0.656147,'\'(0.020833-0.0625]\'','\'(3.45-3.75]\'',1.5,Iris-setosa
-1.018437,'\'(0.020833-0.0625]\'','\'(3.25-3.45]\'',1.4,Iris-setosa
1.396829,'\'(0.520833-0.604167]\'','\'(3.15-3.25]\'',4.7,Iris-versicolor
0.672249,'\'(0.520833-0.604167]\'','\'(3.15-3.25]\'',4.5,Iris-versicolor
1.276066,'\'(0.520833-0.604167]\'','\'(3.05-3.15]\'',4.9,Iris-versicolor
-0.414621,'\'(0.479167-0.520833]\'','\'(-inf-2.55]\'',4,Iris-versicolor
0.793012,'\'(0.520833-0.604167]\'','\'(2.75-2.85]\'',4.6,Iris-versicolor
-0.173094,'\'(0.479167-0.520833]\'','\'(2.75-2.85]\'',4.5,Iris-versicolor
0.551486,'\'(0.604167-0.729167]\'','\'(3.25-3.45]\'',4.7,Iris-versicolor
-1.1392,'\'(0.1875-0.479167]\'','\'(-inf-2.55]\'',3.3,Iris-versicolor
0.913776,'\'(0.479167-0.520833]\'','\'(2.85-2.95]\'',4.6,Iris-versicolor
-0.776911,'\'(0.520833-0.604167]\'','\'(2.55-2.75]\'',3.9,Iris-versicolor
-1.018437,'\'(0.1875-0.479167]\'','\'(-inf-2.55]\'',3.5,Iris-versicolor
0.068433,'\'(0.520833-0.604167]\'','\'(2.95-3.05]\'',4.2,Iris-versicolor
