@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'',5.1,3.5,1.4,Iris-setosa
'\'(-inf-0.34]\'',4.9,3,1.4,Iris-setosa
'\'(-inf-0.34]\'',4.7,3.2,1.3,Iris-setosa
'\'(-inf-0.34]\'',4.6,3.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',5,3.6,1.4,Iris-setosa
'\'(0.34-0.58]\'',5.4,3.9,1.7,Iris-setosa
'\'(-inf-0.34]\'',4.6,3.4,1.4,Iris-setosa
'\'(-inf-0.34]\'',5,3.4,1.5,Iris-setosa
'\'(-inf-0.34]\'',4.4,2.9,1.4,Iris-setosa
'\'(-inf-0.34]\'',4.9,3.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',5.4,3.7,1.5,Iris-setosa
'\'(-inf-0.34]\'',4.8,3.4,1.6,Iris-setosa
'\'(-inf-0.34]\'',4.8,3,1.4,Iris-setosa
'\'(-inf-0.34]\'',4.3,3,1.1,Iris-setosa
'\'(-inf-0.34]\'',5.8,4,1.2,Iris-setosa
'\'(0.34-0.58]\'',5.7,4.4,1.5,Iris-setosa
'\'(0.34-0.58]\'',5.4,3.9,1.3,Iris-setosa
'\'(-inf-0.34]\'',5.1,3.5,1.4,Iris-setosa
'\'(-inf-0.34]\'',5.7,3.8,1.7,Iris-setosa
'\'(-inf-0.34]\'',5.1,3.8,1.5,Iris-setosa
'\'(-inf-0.34]\'',5.4,3.4,1.7,Iris-setosa
'\'(0.34-0.58]\'',5.1,3.7,1.5,Iris-setosa
'\'(-inf-0.34]\'',4.6,3.6,1,Iris-setosa
'\'(0.34-0.58]\'',5.1,3.3,1.7,Iris-setosa
'\'(-inf-0.34]\'',4.8,3.4,1.9,Iris-setosa
'\'(-inf-0.34]\'',5,3,1.6,Iris-setosa
'\'(0.34-0.58]\'',5,3.4,1.6,Iris-setosa
'\'(-inf-0.34]\'',5.2,3.5,1.5,Iris-setosa
'\'(-inf-0.34]\'',5.2,3.4,1.4,Iris-setosa
'\'(-inf-0.34]\'',4.7,3.2,1.6,Iris-setosa
'\'(-inf-0.34]\'',4.8,3.1,1.6,Iris-setosa
'\'(0.34-0.58]\'',5.4,3.4,1.5,Iris-setosa
'\'(-inf-0.34]\'',5.2,4.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',5.5,4.2,1.4,Iris-setosa
'\'(-inf-0.34]\'',4.9,3.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',5,3.2,1.2,Iris-setosa
'\'(-inf-0.34]\'',5.5,3.5,1.3,Iris-setosa
'\'(-inf-0.34]\'',4.9,3.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',4.4,3,1.3,Iris-setosa
'\'(-inf-0.34]\'',5.1,3.4,1.5,Iris-setosa
'\'(-inf-0.34]\'',5,3.5,1.3,Iris-setosa
'\'(-inf-0.34]\'',4.5,2.3,1.3,Iris-setosa
'\'(-inf-0.34]\'',4.4,3.2,1.3,Iris-setosa
'\'(0.58-0.82]\'',5,3.5,1.6,Iris-setosa
'\'(0.34-0.58]\'',5.1,3.8,1.9,Iris-setosa
'\'(-inf-0.34]\'',4.8,3,1.4,Iris-setosa
'\'(-inf-0.34]\'',5.1,3.8,1.6,Iris-setosa
'\'(-inf-0.34]\'',4.6,3.2,1.4,Iris-setosa
