@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf--1.37411]\'','\'(-1.37411--1.243076]\'','\'(-1.243076--0.849974]\'','\'(-0.849974-0.067264]\'','\'(0.067264-0.198298]\'','\'(0.198298-0.460366]\'','\'(0.460366-0.853468]\'','\'(0.853468-1.115536]\'','\'(1.115536-1.377604]\'','\'(1.377604-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(-1.37411--1.243076]\'','\'(3.45-3.75]\'',1.4,Iris-setosa
0.166667,'\'(-1.37411--1.243076]\'','\'(2.95-3.05]\'',1.4,Iris-setosa
0.111111,'\'(-1.37411--1.243076]\'','\'(3.15-3.25]\'',1.3,Iris-setosa
0.083333,'\'(-1.37411--1.243076]\'','\'(3.05-3.15]\'',1.5,Iris-setosa
0.194444,'\'(-1.37411--1.243076]\'','\'(3.45-3.75]\'',1.4,Iris-setosa
0.305556,'\'(-1.243076--0.849974]\'','\'(3.75-inf)\'',1.7,Iris-setosa
0.083333,'\'(-1.243076--0.849974]\'','\'(3.25-3.45]\'',1.4,Iris-setosa
0.194444,'\'(-1.37411--1.243076]\'','\'(3.25-3.45]\'',1.5,Iris-setosa
0.027778,'\'(-1.37411--1.243076]\'','\'(2.85-2.95]\'',1.4,Iris-setosa
0.166667,'\'(-inf--1.37411]\'','\'(3.05-3.15]\'',1.5,Iris-setosa
0.305556,'\'(-1.37411--1.243076]\'','\'(3.45-3.75]\'',1.5,Iris-setosa
0.138889,'\'(-1.37411--1.243076]\'','\'(3.25-3.45]\'',1.6,Iris-setosa
0.138889,'\'(-inf--1.37411]\'','\'(2.95-3.05]\'',1.4,Iris-setosa
0,'\'(-inf--1.37411]\'','\'(2.95-3.05]\'',1.1,Iris-setosa
0.416667,'\'(-1.37411--1.243076]\'','\'(3.75-inf)\'',1.2,Iris-setosa
0.388889,'\'(-1.243076--0.849974]\'','\'(3.75-inf)\'',1.5,Iris-setosa
0.305556,'\'(-1.243076--0.849974]\'','\'(3.75-inf)\'',1.3,Iris-setosa
