@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3'

@attribute 'filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,'\'(3.45-3.75]\'',5.1,0.2,Iris-setosa
0.067797,'\'(2.95-3.05]\'',4.9,0.2,Iris-setosa
0.050847,'\'(3.15-3.25]\'',4.7,0.2,Iris-setosa
0.084746,'\'(3.05-3.15]\'',4.6,0.2,Iris-setosa
0.067797,'\'(3.45-3.75]\'',5,0.2,Iris-setosa
0.118644,'\'(3.75-inf)\'',5.4,0.4,Iris-setosa
0.067797,'\'(3.25-3.45]\'',4.6,0.3,Iris-setosa
0.084746,'\'(3.25-3.45]\'',5,0.2,Iris-setosa
0.067797,'\'(2.85-2.95]\'',4.4,0.2,Iris-setosa
0.084746,'\'(3.05-3.15]\'',4.9,0.1,Iris-setosa
0.084746,'\'(3.45-3.75]\'',5.4,0.2,Iris-setosa
0.101695,'\'(3.25-3.45]\'',4.8,0.2,Iris-setosa
0.067797,'\'(2.95-3.05]\'',4.8,0.1,Iris-setosa
0.016949,'\'(2.95-3.05]\'',4.3,0.1,Iris-setosa
0.033898,'\'(3.75-inf)\'',5.8,0.2,Iris-setosa
0.084746,'\'(3.75-inf)\'',5.7,0.4,Iris-setosa
0.050847,'\'(3.75-inf)\'',5.4,0.4,Iris-setosa
0.067797,'\'(3.45-3.75]\'',5.1,0.3,Iris-setosa
0.118644,'\'(3.75-inf)\'',5.7,0.3,Iris-setosa
0.084746,'\'(3.75-inf)\'',5.1,0.3,Iris-setosa
0.118644,'\'(3.25-3.45]\'',5.4,0.2,Iris-setosa
0.084746,'\'(3.45-3.75]\'',5.1,0.4,Iris-setosa
0,'\'(3.45-3.75]\'',4.6,0.2,Iris-setosa
0.118644,'\'(3.25-3.45]\'',5.1,0.5,Iris-setosa
0.152542,'\'(3.25-3.45]\'',4.8,0.2,Iris-setosa
0.101695,'\'(2.95-3.05]\'',5,0.2,Iris-setosa
0.101695,'\'(3.25-3.45]\'',5,0.4,Iris-setosa
0.084746,'\'(3.45-3.75]\'',5.2,0.2,Iris-setosa
0.067797,'\'(3.25-3.45]\'',5.2,0.2,Iris-setosa
0.101695,'\'(3.15-3.25]\'',4.7,0.2,Iris-setosa
0.101695,'\'(3.05-3.15]\'',4.8,0.2,Iris-setosa
0.084746,'\'(3.25-3.45]\'',5.4,0.4,Iris-setosa
0.084746,'\'(3.75-inf)\'',5.2,0.1,Iris-setosa
0.067797,'\'(3.75-inf)\'',5.5,0.2,Iris-setosa
0.084746,'\'(3.05-3.15]\'',4.9,0.1,Iris-setosa
0.033898,'\'(3.15-3.25]\'',5,0.2,Iris-setosa
0.050847,'\'(3.45-3.75]\'',5.5,0.2,Iris-setosa
0.084746,'\'(3.05-3.15]\'',4.9,0.1,Iris-setosa
0.050847,'\'(2.95-3.05]\'',4.4,0.2,Iris-setosa
0.084746,'\'(3.25-3.45]\'',5.1,0.2,Iris-setosa
0.050847,'\'(3.45-3.75]\'',5,0.3,Iris-setosa
0.050847,'\'(-inf-2.55]\'',4.5,0.3,Iris-setosa
0.050847,'\'(3.15-3.25]\'',4.4,0.2,Iris-setosa
0.101695,'\'(3.45-3.75]\'',5,0.6,Iris-setosa
0.152542,'\'(3.75-inf)\'',5.1,0.4,Iris-setosa
0.067797,'\'(2.95-3.05]\'',4.8,0.3,Iris-setosa
0.101695,'\'(3.75-inf)\'',5.1,0.2,Iris-setosa
0.067797,'\'(3.15-3.25]\'',4.6,0.2,Iris-setosa
0.084746,'\'(3.45-3.75]\'',5.3,0.2,Iris-setosa
0.067797,'\'(3.25-3.45]\'',5,0.2,Iris-setosa
0.627119,'\'(3.15-3.25]\'',7,1.4,Iris-versicolor
0.59322,'\'(3.15-3.25]\'',6.4,1.5,Iris-versicolor
0.661017,'\'(3.05-3.15]\'',6.9,1.5,Iris-versicolor
0.508475,'\'(-inf-2.55]\'',5.5,1.3,Iris-versicolor
0.610169,'\'(2.75-2.85]\'',6.5,1.5,Iris-versicolor
