@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3'

@attribute 'filtered-0-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(1.35-1.45]\'',5.1,3.5,0.2,Iris-setosa
'\'(1.35-1.45]\'',4.9,3,0.2,Iris-setosa
'\'(-inf-1.35]\'',4.7,3.2,0.2,Iris-setosa
'\'(1.45-1.55]\'',4.6,3.1,0.2,Iris-setosa
'\'(1.35-1.45]\'',5,3.6,0.2,Iris-setosa
'\'(1.55-3.4]\'',5.4,3.9,0.4,Iris-setosa
'\'(1.35-1.45]\'',4.6,3.4,0.3,Iris-setosa
'\'(1.45-1.55]\'',5,3.4,0.2,Iris-setosa
'\'(1.35-1.45]\'',4.4,2.9,0.2,Iris-setosa
'\'(1.45-1.55]\'',4.9,3.1,0.1,Iris-setosa
'\'(1.45-1.55]\'',5.4,3.7,0.2,Iris-setosa
'\'(1.55-3.4]\'',4.8,3.4,0.2,Iris-setosa
'\'(1.35-1.45]\'',4.8,3,0.1,Iris-setosa
'\'(-inf-1.35]\'',4.3,3,0.1,Iris-setosa
'\'(-inf-1.35]\'',5.8,4,0.2,Iris-setosa
'\'(1.45-1.55]\'',5.7,4.4,0.4,Iris-setosa
'\'(-inf-1.35]\'',5.4,3.9,0.4,Iris-setosa
'\'(1.35-1.45]\'',5.1,3.5,0.3,Iris-setosa
'\'(1.55-3.4]\'',5.7,3.8,0.3,Iris-setosa
'\'(1.45-1.55]\'',5.1,3.8,0.3,Iris-setosa
'\'(1.55-3.4]\'',5.4,3.4,0.2,Iris-setosa
'\'(1.45-1.55]\'',5.1,3.7,0.4,Iris-setosa
'\'(-inf-1.35]\'',4.6,3.6,0.2,Iris-setosa
'\'(1.55-3.4]\'',5.1,3.3,0.5,Iris-setosa
'\'(1.55-3.4]\'',4.8,3.4,0.2,Iris-setosa
'\'(1.55-3.4]\'',5,3,0.2,Iris-setosa
'\'(1.55-3.4]\'',5,3.4,0.4,Iris-setosa
'\'(1.45-1.55]\'',5.2,3.5,0.2,Iris-setosa
'\'(1.35-1.45]\'',5.2,3.4,0.2,Iris-setosa
'\'(1.55-3.4]\'',4.7,3.2,0.2,Iris-setosa
'\'(1.55-3.4]\'',4.8,3.1,0.2,Iris-setosa
