@relation 'iris(L1eqH79QC)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.1]\'',1.028611,5.1,0.2,Iris-setosa
'\'(-inf-0.1]\'',-0.12454,4.9,0.2,Iris-setosa
'\'(-inf-0.1]\'',0.33672,4.7,0.2,Iris-setosa
'\'(-inf-0.1]\'',0.10609,4.6,0.2,Iris-setosa
'\'(-inf-0.1]\'',1.259242,5,0.2,Iris-setosa
'\'(0.1-0.2]\'',1.951133,5.4,0.4,Iris-setosa
'\'(-inf-0.1]\'',0.797981,4.6,0.3,Iris-setosa
'\'(-inf-0.1]\'',0.797981,5,0.2,Iris-setosa
'\'(-inf-0.1]\'',-0.355171,4.4,0.2,Iris-setosa
'\'(-inf-0.1]\'',0.10609,4.9,0.1,Iris-setosa
'\'(-inf-0.1]\'',1.489872,5.4,0.2,Iris-setosa
'\'(0.1-0.2]\'',0.797981,4.8,0.2,Iris-setosa
'\'(-inf-0.1]\'',-0.12454,4.8,0.1,Iris-setosa
'\'(-inf-0.1]\'',-0.12454,4.3,0.1,Iris-setosa
'\'(-inf-0.1]\'',2.181763,5.8,0.2,Iris-setosa
'\'(-inf-0.1]\'',3.104284,5.7,0.4,Iris-setosa
'\'(-inf-0.1]\'',1.951133,5.4,0.4,Iris-setosa
'\'(-inf-0.1]\'',1.028611,5.1,0.3,Iris-setosa
'\'(0.1-0.2]\'',1.720502,5.7,0.3,Iris-setosa
'\'(-inf-0.1]\'',1.720502,5.1,0.3,Iris-setosa
'\'(0.1-0.2]\'',0.797981,5.4,0.2,Iris-setosa
'\'(-inf-0.1]\'',1.489872,5.1,0.4,Iris-setosa
'\'(-inf-0.1]\'',1.259242,4.6,0.2,Iris-setosa
'\'(0.1-0.2]\'',0.567351,5.1,0.5,Iris-setosa
'\'(0.1-0.2]\'',0.797981,4.8,0.2,Iris-setosa
'\'(0.1-0.2]\'',-0.12454,5,0.2,Iris-setosa
'\'(0.1-0.2]\'',0.797981,5,0.4,Iris-setosa
'\'(-inf-0.1]\'',1.028611,5.2,0.2,Iris-setosa
'\'(-inf-0.1]\'',0.797981,5.2,0.2,Iris-setosa
'\'(0.1-0.2]\'',0.33672,4.7,0.2,Iris-setosa
'\'(0.1-0.2]\'',0.10609,4.8,0.2,Iris-setosa
'\'(-inf-0.1]\'',0.797981,5.4,0.4,Iris-setosa
'\'(-inf-0.1]\'',2.412393,5.2,0.1,Iris-setosa
'\'(-inf-0.1]\'',2.643024,5.5,0.2,Iris-setosa
'\'(-inf-0.1]\'',0.10609,4.9,0.1,Iris-setosa
'\'(-inf-0.1]\'',0.33672,5,0.2,Iris-setosa
'\'(-inf-0.1]\'',1.028611,5.5,0.2,Iris-setosa
