@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-sepal width in cm' {'\'(-inf--1.877331]\'','\'(-1.877331--1.323818]\'','\'(-1.323818--0.770305]\'','\'(-0.770305--0.216793]\'','\'(-0.216793-0.33672]\'','\'(0.33672-0.890233]\'','\'(0.890233-1.443746]\'','\'(1.443746-1.997259]\'','\'(1.997259-2.550771]\'','\'(2.550771-inf)\''}
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.890233-1.443746]\'',5.1,1.4,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.9,1.4,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.7,1.3,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.6,1.5,0.2,Iris-setosa
'\'(0.890233-1.443746]\'',5,1.4,0.2,Iris-setosa
'\'(1.443746-1.997259]\'',5.4,1.7,0.4,Iris-setosa
'\'(0.33672-0.890233]\'',4.6,1.4,0.3,Iris-setosa
'\'(0.33672-0.890233]\'',5,1.5,0.2,Iris-setosa
'\'(-0.770305--0.216793]\'',4.4,1.4,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.9,1.5,0.1,Iris-setosa
'\'(1.443746-1.997259]\'',5.4,1.5,0.2,Iris-setosa
'\'(0.33672-0.890233]\'',4.8,1.6,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.8,1.4,0.1,Iris-setosa
'\'(-0.216793-0.33672]\'',4.3,1.1,0.1,Iris-setosa
'\'(1.997259-2.550771]\'',5.8,1.2,0.2,Iris-setosa
'\'(2.550771-inf)\'',5.7,1.5,0.4,Iris-setosa
'\'(1.443746-1.997259]\'',5.4,1.3,0.4,Iris-setosa
'\'(0.890233-1.443746]\'',5.1,1.4,0.3,Iris-setosa
'\'(1.443746-1.997259]\'',5.7,1.7,0.3,Iris-setosa
'\'(1.443746-1.997259]\'',5.1,1.5,0.3,Iris-setosa
'\'(0.33672-0.890233]\'',5.4,1.7,0.2,Iris-setosa
'\'(1.443746-1.997259]\'',5.1,1.5,0.4,Iris-setosa
'\'(0.890233-1.443746]\'',4.6,1,0.2,Iris-setosa
'\'(0.33672-0.890233]\'',5.1,1.7,0.5,Iris-setosa
'\'(0.33672-0.890233]\'',4.8,1.9,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',5,1.6,0.2,Iris-setosa
'\'(0.33672-0.890233]\'',5,1.6,0.4,Iris-setosa
'\'(0.890233-1.443746]\'',5.2,1.5,0.2,Iris-setosa
'\'(0.33672-0.890233]\'',5.2,1.4,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.7,1.6,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.8,1.6,0.2,Iris-setosa
'\'(0.33672-0.890233]\'',5.4,1.5,0.4,Iris-setosa
'\'(1.997259-2.550771]\'',5.2,1.5,0.1,Iris-setosa
'\'(2.550771-inf)\'',5.5,1.4,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.9,1.5,0.1,Iris-setosa
'\'(-0.216793-0.33672]\'',5,1.2,0.2,Iris-setosa
'\'(0.890233-1.443746]\'',5.5,1.3,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.9,1.5,0.1,Iris-setosa
'\'(-0.216793-0.33672]\'',4.4,1.3,0.2,Iris-setosa
'\'(0.33672-0.890233]\'',5.1,1.5,0.2,Iris-setosa
'\'(0.890233-1.443746]\'',5,1.3,0.3,Iris-setosa
'\'(-1.877331--1.323818]\'',4.5,1.3,0.3,Iris-setosa
'\'(-0.216793-0.33672]\'',4.4,1.3,0.2,Iris-setosa
'\'(0.890233-1.443746]\'',5,1.6,0.6,Iris-setosa
'\'(1.443746-1.997259]\'',5.1,1.9,0.4,Iris-setosa
'\'(-0.216793-0.33672]\'',4.8,1.4,0.3,Iris-setosa
'\'(1.443746-1.997259]\'',5.1,1.6,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',4.6,1.4,0.2,Iris-setosa
'\'(1.443746-1.997259]\'',5.3,1.5,0.2,Iris-setosa
'\'(0.33672-0.890233]\'',5,1.4,0.2,Iris-setosa
'\'(-0.216793-0.33672]\'',7,4.7,1.4,Iris-versicolor
'\'(-0.216793-0.33672]\'',6.4,4.5,1.5,Iris-versicolor
'\'(-0.216793-0.33672]\'',6.9,4.9,1.5,Iris-versicolor
'\'(-1.877331--1.323818]\'',5.5,4,1.3,Iris-versicolor
'\'(-0.770305--0.216793]\'',6.5,4.6,1.5,Iris-versicolor
'\'(-0.770305--0.216793]\'',5.7,4.5,1.3,Iris-versicolor
'\'(0.33672-0.890233]\'',6.3,4.7,1.6,Iris-versicolor
'\'(-1.877331--1.323818]\'',4.9,3.3,1,Iris-versicolor
'\'(-0.770305--0.216793]\'',6.6,4.6,1.3,Iris-versicolor
'\'(-1.323818--0.770305]\'',5.2,3.9,1.4,Iris-versicolor
'\'(-inf--1.877331]\'',5,3.5,1,Iris-versicolor
