@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-0.059322]\'','\'(0.059322-0.076271]\'','\'(0.076271-0.09322]\'','\'(0.09322-0.40678]\'','\'(0.40678-0.533898]\'','\'(0.533898-0.601695]\'','\'(0.601695-0.669492]\'','\'(0.669492-0.737288]\'','\'(0.737288-0.805085]\'','\'(0.805085-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.059322-0.076271]\'',0.625,5.1,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',0.416667,4.9,0.2,Iris-setosa
'\'(-inf-0.059322]\'',0.5,4.7,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',0.458333,4.6,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',0.666667,5,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',0.791667,5.4,0.4,Iris-setosa
'\'(0.059322-0.076271]\'',0.583333,4.6,0.3,Iris-setosa
'\'(0.076271-0.09322]\'',0.583333,5,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',0.375,4.4,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',0.458333,4.9,0.1,Iris-setosa
'\'(0.076271-0.09322]\'',0.708333,5.4,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',0.583333,4.8,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',0.416667,4.8,0.1,Iris-setosa
'\'(-inf-0.059322]\'',0.416667,4.3,0.1,Iris-setosa
'\'(-inf-0.059322]\'',0.833333,5.8,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',1,5.7,0.4,Iris-setosa
'\'(-inf-0.059322]\'',0.791667,5.4,0.4,Iris-setosa
'\'(0.059322-0.076271]\'',0.625,5.1,0.3,Iris-setosa
'\'(0.09322-0.40678]\'',0.75,5.7,0.3,Iris-setosa
'\'(0.076271-0.09322]\'',0.75,5.1,0.3,Iris-setosa
'\'(0.09322-0.40678]\'',0.583333,5.4,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',0.708333,5.1,0.4,Iris-setosa
'\'(-inf-0.059322]\'',0.666667,4.6,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',0.541667,5.1,0.5,Iris-setosa
'\'(0.09322-0.40678]\'',0.583333,4.8,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',0.416667,5,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',0.583333,5,0.4,Iris-setosa
'\'(0.076271-0.09322]\'',0.625,5.2,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',0.583333,5.2,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',0.5,4.7,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',0.458333,4.8,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',0.583333,5.4,0.4,Iris-setosa
'\'(0.076271-0.09322]\'',0.875,5.2,0.1,Iris-setosa
'\'(0.059322-0.076271]\'',0.916667,5.5,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',0.458333,4.9,0.1,Iris-setosa
'\'(-inf-0.059322]\'',0.5,5,0.2,Iris-setosa
'\'(-inf-0.059322]\'',0.625,5.5,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',0.458333,4.9,0.1,Iris-setosa
'\'(-inf-0.059322]\'',0.416667,4.4,0.2,Iris-setosa
'\'(0.076271-0.09322]\'',0.583333,5.1,0.2,Iris-setosa
'\'(-inf-0.059322]\'',0.625,5,0.3,Iris-setosa
'\'(-inf-0.059322]\'',0.125,4.5,0.3,Iris-setosa
'\'(-inf-0.059322]\'',0.5,4.4,0.2,Iris-setosa
'\'(0.09322-0.40678]\'',0.625,5,0.6,Iris-setosa
'\'(0.09322-0.40678]\'',0.75,5.1,0.4,Iris-setosa
'\'(0.059322-0.076271]\'',0.416667,4.8,0.3,Iris-setosa
'\'(0.09322-0.40678]\'',0.75,5.1,0.2,Iris-setosa
'\'(0.059322-0.076271]\'',0.5,4.6,0.2,Iris-setosa
