@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal length in cm' {'\'(-inf-1.35]\'','\'(1.35-1.45]\'','\'(1.45-1.55]\'','\'(1.55-3.4]\'','\'(3.4-4.15]\'','\'(4.15-4.55]\'','\'(4.55-4.95]\'','\'(4.95-5.35]\'','\'(5.35-5.75]\'','\'(5.75-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(1.35-1.45]\'',0.625,5.1,0.2,Iris-setosa
'\'(1.35-1.45]\'',0.416667,4.9,0.2,Iris-setosa
'\'(-inf-1.35]\'',0.5,4.7,0.2,Iris-setosa
'\'(1.45-1.55]\'',0.458333,4.6,0.2,Iris-setosa
'\'(1.35-1.45]\'',0.666667,5,0.2,Iris-setosa
'\'(1.55-3.4]\'',0.791667,5.4,0.4,Iris-setosa
'\'(1.35-1.45]\'',0.583333,4.6,0.3,Iris-setosa
'\'(1.45-1.55]\'',0.583333,5,0.2,Iris-setosa
'\'(1.35-1.45]\'',0.375,4.4,0.2,Iris-setosa
'\'(1.45-1.55]\'',0.458333,4.9,0.1,Iris-setosa
'\'(1.45-1.55]\'',0.708333,5.4,0.2,Iris-setosa
'\'(1.55-3.4]\'',0.583333,4.8,0.2,Iris-setosa
'\'(1.35-1.45]\'',0.416667,4.8,0.1,Iris-setosa
'\'(-inf-1.35]\'',0.416667,4.3,0.1,Iris-setosa
'\'(-inf-1.35]\'',0.833333,5.8,0.2,Iris-setosa
'\'(1.45-1.55]\'',1,5.7,0.4,Iris-setosa
'\'(-inf-1.35]\'',0.791667,5.4,0.4,Iris-setosa
'\'(1.35-1.45]\'',0.625,5.1,0.3,Iris-setosa
'\'(1.55-3.4]\'',0.75,5.7,0.3,Iris-setosa
'\'(1.45-1.55]\'',0.75,5.1,0.3,Iris-setosa
'\'(1.55-3.4]\'',0.583333,5.4,0.2,Iris-setosa
'\'(1.45-1.55]\'',0.708333,5.1,0.4,Iris-setosa
'\'(-inf-1.35]\'',0.666667,4.6,0.2,Iris-setosa
'\'(1.55-3.4]\'',0.541667,5.1,0.5,Iris-setosa
'\'(1.55-3.4]\'',0.583333,4.8,0.2,Iris-setosa
'\'(1.55-3.4]\'',0.416667,5,0.2,Iris-setosa
'\'(1.55-3.4]\'',0.583333,5,0.4,Iris-setosa
'\'(1.45-1.55]\'',0.625,5.2,0.2,Iris-setosa
'\'(1.35-1.45]\'',0.583333,5.2,0.2,Iris-setosa
'\'(1.55-3.4]\'',0.5,4.7,0.2,Iris-setosa
'\'(1.55-3.4]\'',0.458333,4.8,0.2,Iris-setosa
'\'(1.45-1.55]\'',0.583333,5.4,0.4,Iris-setosa
'\'(1.45-1.55]\'',0.875,5.2,0.1,Iris-setosa
'\'(1.35-1.45]\'',0.916667,5.5,0.2,Iris-setosa
'\'(1.45-1.55]\'',0.458333,4.9,0.1,Iris-setosa
'\'(-inf-1.35]\'',0.5,5,0.2,Iris-setosa
'\'(-inf-1.35]\'',0.625,5.5,0.2,Iris-setosa
'\'(1.45-1.55]\'',0.458333,4.9,0.1,Iris-setosa
'\'(-inf-1.35]\'',0.416667,4.4,0.2,Iris-setosa
'\'(1.45-1.55]\'',0.583333,5.1,0.2,Iris-setosa
'\'(-inf-1.35]\'',0.625,5,0.3,Iris-setosa
'\'(-inf-1.35]\'',0.125,4.5,0.3,Iris-setosa
'\'(-inf-1.35]\'',0.5,4.4,0.2,Iris-setosa
'\'(1.55-3.4]\'',0.625,5,0.6,Iris-setosa
'\'(1.55-3.4]\'',0.75,5.1,0.4,Iris-setosa
'\'(1.35-1.45]\'',0.416667,4.8,0.3,Iris-setosa
'\'(1.55-3.4]\'',0.75,5.1,0.2,Iris-setosa
'\'(1.35-1.45]\'',0.5,4.6,0.2,Iris-setosa
'\'(1.45-1.55]\'',0.708333,5.3,0.2,Iris-setosa
'\'(1.35-1.45]\'',0.541667,5,0.2,Iris-setosa
'\'(4.55-4.95]\'',0.5,7,1.4,Iris-versicolor
'\'(4.15-4.55]\'',0.5,6.4,1.5,Iris-versicolor
'\'(4.55-4.95]\'',0.458333,6.9,1.5,Iris-versicolor
'\'(3.4-4.15]\'',0.125,5.5,1.3,Iris-versicolor
'\'(4.55-4.95]\'',0.333333,6.5,1.5,Iris-versicolor
'\'(4.15-4.55]\'',0.333333,5.7,1.3,Iris-versicolor
'\'(4.55-4.95]\'',0.541667,6.3,1.6,Iris-versicolor
'\'(1.55-3.4]\'',0.166667,4.9,1,Iris-versicolor
'\'(4.55-4.95]\'',0.375,6.6,1.3,Iris-versicolor
'\'(3.4-4.15]\'',0.291667,5.2,1.4,Iris-versicolor
'\'(3.4-4.15]\'',0,5,1,Iris-versicolor
'\'(4.15-4.55]\'',0.416667,5.9,1.5,Iris-versicolor
'\'(3.4-4.15]\'',0.083333,6,1,Iris-versicolor
'\'(4.55-4.95]\'',0.375,6.1,1.4,Iris-versicolor
'\'(3.4-4.15]\'',0.375,5.6,1.3,Iris-versicolor
'\'(4.15-4.55]\'',0.458333,6.7,1.4,Iris-versicolor
'\'(4.15-4.55]\'',0.416667,5.6,1.5,Iris-versicolor
'\'(3.4-4.15]\'',0.291667,5.8,1,Iris-versicolor
'\'(4.15-4.55]\'',0.083333,6.2,1.5,Iris-versicolor
'\'(3.4-4.15]\'',0.208333,5.6,1.1,Iris-versicolor
'\'(4.55-4.95]\'',0.5,5.9,1.8,Iris-versicolor
'\'(3.4-4.15]\'',0.333333,6.1,1.3,Iris-versicolor
'\'(4.55-4.95]\'',0.208333,6.3,1.5,Iris-versicolor
'\'(4.55-4.95]\'',0.333333,6.1,1.2,Iris-versicolor
'\'(4.15-4.55]\'',0.375,6.4,1.3,Iris-versicolor
'\'(4.15-4.55]\'',0.416667,6.6,1.4,Iris-versicolor
