@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'',1.028611,5.1,1.4,Iris-setosa
'\'(0.15-0.25]\'',-0.12454,4.9,1.4,Iris-setosa
'\'(0.15-0.25]\'',0.33672,4.7,1.3,Iris-setosa
'\'(0.15-0.25]\'',0.10609,4.6,1.5,Iris-setosa
'\'(0.15-0.25]\'',1.259242,5,1.4,Iris-setosa
'\'(0.25-0.55]\'',1.951133,5.4,1.7,Iris-setosa
'\'(0.25-0.55]\'',0.797981,4.6,1.4,Iris-setosa
'\'(0.15-0.25]\'',0.797981,5,1.5,Iris-setosa
'\'(0.15-0.25]\'',-0.355171,4.4,1.4,Iris-setosa
'\'(-inf-0.15]\'',0.10609,4.9,1.5,Iris-setosa
'\'(0.15-0.25]\'',1.489872,5.4,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.797981,4.8,1.6,Iris-setosa
'\'(-inf-0.15]\'',-0.12454,4.8,1.4,Iris-setosa
'\'(-inf-0.15]\'',-0.12454,4.3,1.1,Iris-setosa
'\'(0.15-0.25]\'',2.181763,5.8,1.2,Iris-setosa
'\'(0.25-0.55]\'',3.104284,5.7,1.5,Iris-setosa
'\'(0.25-0.55]\'',1.951133,5.4,1.3,Iris-setosa
'\'(0.25-0.55]\'',1.028611,5.1,1.4,Iris-setosa
'\'(0.25-0.55]\'',1.720502,5.7,1.7,Iris-setosa
'\'(0.25-0.55]\'',1.720502,5.1,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.797981,5.4,1.7,Iris-setosa
'\'(0.25-0.55]\'',1.489872,5.1,1.5,Iris-setosa
'\'(0.15-0.25]\'',1.259242,4.6,1,Iris-setosa
'\'(0.25-0.55]\'',0.567351,5.1,1.7,Iris-setosa
'\'(0.15-0.25]\'',0.797981,4.8,1.9,Iris-setosa
'\'(0.15-0.25]\'',-0.12454,5,1.6,Iris-setosa
'\'(0.25-0.55]\'',0.797981,5,1.6,Iris-setosa
'\'(0.15-0.25]\'',1.028611,5.2,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.797981,5.2,1.4,Iris-setosa
'\'(0.15-0.25]\'',0.33672,4.7,1.6,Iris-setosa
'\'(0.15-0.25]\'',0.10609,4.8,1.6,Iris-setosa
'\'(0.25-0.55]\'',0.797981,5.4,1.5,Iris-setosa
'\'(-inf-0.15]\'',2.412393,5.2,1.5,Iris-setosa
'\'(0.15-0.25]\'',2.643024,5.5,1.4,Iris-setosa
'\'(-inf-0.15]\'',0.10609,4.9,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.33672,5,1.2,Iris-setosa
'\'(0.15-0.25]\'',1.028611,5.5,1.3,Iris-setosa
'\'(-inf-0.15]\'',0.10609,4.9,1.5,Iris-setosa
'\'(0.15-0.25]\'',-0.12454,4.4,1.3,Iris-setosa
'\'(0.15-0.25]\'',0.797981,5.1,1.5,Iris-setosa
'\'(0.25-0.55]\'',1.028611,5,1.3,Iris-setosa
'\'(0.25-0.55]\'',-1.738953,4.5,1.3,Iris-setosa
'\'(0.15-0.25]\'',0.33672,4.4,1.3,Iris-setosa
'\'(0.55-1.25]\'',1.028611,5,1.6,Iris-setosa
'\'(0.25-0.55]\'',1.720502,5.1,1.9,Iris-setosa
'\'(0.25-0.55]\'',-0.12454,4.8,1.4,Iris-setosa
'\'(0.15-0.25]\'',1.720502,5.1,1.6,Iris-setosa
'\'(0.15-0.25]\'',0.33672,4.6,1.4,Iris-setosa
'\'(0.15-0.25]\'',1.489872,5.3,1.5,Iris-setosa
'\'(0.15-0.25]\'',0.567351,5,1.4,Iris-setosa
'\'(1.35-1.55]\'',0.33672,7,4.7,Iris-versicolor
'\'(1.35-1.55]\'',0.33672,6.4,4.5,Iris-versicolor
'\'(1.35-1.55]\'',0.10609,6.9,4.9,Iris-versicolor
'\'(1.25-1.35]\'',-1.738953,5.5,4,Iris-versicolor
'\'(1.35-1.55]\'',-0.585801,6.5,4.6,Iris-versicolor
'\'(1.25-1.35]\'',-0.585801,5.7,4.5,Iris-versicolor
'\'(1.55-1.85]\'',0.567351,6.3,4.7,Iris-versicolor
'\'(0.55-1.25]\'',-1.508322,4.9,3.3,Iris-versicolor
'\'(1.25-1.35]\'',-0.355171,6.6,4.6,Iris-versicolor
'\'(1.35-1.55]\'',-0.816431,5.2,3.9,Iris-versicolor
'\'(0.55-1.25]\'',-2.430844,5,3.5,Iris-versicolor
'\'(1.35-1.55]\'',-0.12454,5.9,4.2,Iris-versicolor
'\'(0.55-1.25]\'',-1.969583,6,4,Iris-versicolor
