@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'',0.067797,'\'(3.44-3.68]\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',0.067797,'\'(2.96-3.2]\'',4.9,Iris-setosa
'\'(0.15-0.25]\'',0.050847,'\'(2.96-3.2]\'',4.7,Iris-setosa
'\'(0.15-0.25]\'',0.084746,'\'(2.96-3.2]\'',4.6,Iris-setosa
'\'(0.15-0.25]\'',0.067797,'\'(3.44-3.68]\'',5,Iris-setosa
'\'(0.25-0.55]\'',0.118644,'\'(3.68-3.92]\'',5.4,Iris-setosa
'\'(0.25-0.55]\'',0.067797,'\'(3.2-3.44]\'',4.6,Iris-setosa
'\'(0.15-0.25]\'',0.084746,'\'(3.2-3.44]\'',5,Iris-setosa
'\'(0.15-0.25]\'',0.067797,'\'(2.72-2.96]\'',4.4,Iris-setosa
'\'(-inf-0.15]\'',0.084746,'\'(2.96-3.2]\'',4.9,Iris-setosa
'\'(0.15-0.25]\'',0.084746,'\'(3.68-3.92]\'',5.4,Iris-setosa
'\'(0.15-0.25]\'',0.101695,'\'(3.2-3.44]\'',4.8,Iris-setosa
'\'(-inf-0.15]\'',0.067797,'\'(2.96-3.2]\'',4.8,Iris-setosa
'\'(-inf-0.15]\'',0.016949,'\'(2.96-3.2]\'',4.3,Iris-setosa
'\'(0.15-0.25]\'',0.033898,'\'(3.92-4.16]\'',5.8,Iris-setosa
'\'(0.25-0.55]\'',0.084746,'\'(4.16-inf)\'',5.7,Iris-setosa
'\'(0.25-0.55]\'',0.050847,'\'(3.68-3.92]\'',5.4,Iris-setosa
'\'(0.25-0.55]\'',0.067797,'\'(3.44-3.68]\'',5.1,Iris-setosa
'\'(0.25-0.55]\'',0.118644,'\'(3.68-3.92]\'',5.7,Iris-setosa
'\'(0.25-0.55]\'',0.084746,'\'(3.68-3.92]\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',0.118644,'\'(3.2-3.44]\'',5.4,Iris-setosa
'\'(0.25-0.55]\'',0.084746,'\'(3.68-3.92]\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',0,'\'(3.44-3.68]\'',4.6,Iris-setosa
'\'(0.25-0.55]\'',0.118644,'\'(3.2-3.44]\'',5.1,Iris-setosa
'\'(0.15-0.25]\'',0.152542,'\'(3.2-3.44]\'',4.8,Iris-setosa
'\'(0.15-0.25]\'',0.101695,'\'(2.96-3.2]\'',5,Iris-setosa
'\'(0.25-0.55]\'',0.101695,'\'(3.2-3.44]\'',5,Iris-setosa
'\'(0.15-0.25]\'',0.084746,'\'(3.44-3.68]\'',5.2,Iris-setosa
'\'(0.15-0.25]\'',0.067797,'\'(3.2-3.44]\'',5.2,Iris-setosa
'\'(0.15-0.25]\'',0.101695,'\'(2.96-3.2]\'',4.7,Iris-setosa
'\'(0.15-0.25]\'',0.101695,'\'(2.96-3.2]\'',4.8,Iris-setosa
'\'(0.25-0.55]\'',0.084746,'\'(3.2-3.44]\'',5.4,Iris-setosa
'\'(-inf-0.15]\'',0.084746,'\'(3.92-4.16]\'',5.2,Iris-setosa
'\'(0.15-0.25]\'',0.067797,'\'(4.16-inf)\'',5.5,Iris-setosa
'\'(-inf-0.15]\'',0.084746,'\'(2.96-3.2]\'',4.9,Iris-setosa
'\'(0.15-0.25]\'',0.033898,'\'(2.96-3.2]\'',5,Iris-setosa
'\'(0.15-0.25]\'',0.050847,'\'(3.44-3.68]\'',5.5,Iris-setosa
'\'(-inf-0.15]\'',0.084746,'\'(2.96-3.2]\'',4.9,Iris-setosa
'\'(0.15-0.25]\'',0.050847,'\'(2.96-3.2]\'',4.4,Iris-setosa
'\'(0.15-0.25]\'',0.084746,'\'(3.2-3.44]\'',5.1,Iris-setosa
