@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.15-0.25]\'',-0.897674,3.5,1.4,Iris-setosa
'\'(0.15-0.25]\'',-1.1392,3,1.4,Iris-setosa
'\'(0.15-0.25]\'',-1.380727,3.2,1.3,Iris-setosa
'\'(0.15-0.25]\'',-1.50149,3.1,1.5,Iris-setosa
'\'(0.15-0.25]\'',-1.018437,3.6,1.4,Iris-setosa
'\'(0.25-0.55]\'',-0.535384,3.9,1.7,Iris-setosa
'\'(0.25-0.55]\'',-1.50149,3.4,1.4,Iris-setosa
'\'(0.15-0.25]\'',-1.018437,3.4,1.5,Iris-setosa
'\'(0.15-0.25]\'',-1.743017,2.9,1.4,Iris-setosa
'\'(-inf-0.15]\'',-1.1392,3.1,1.5,Iris-setosa
'\'(0.15-0.25]\'',-0.535384,3.7,1.5,Iris-setosa
'\'(0.15-0.25]\'',-1.259964,3.4,1.6,Iris-setosa
'\'(-inf-0.15]\'',-1.259964,3,1.4,Iris-setosa
'\'(-inf-0.15]\'',-1.86378,3,1.1,Iris-setosa
'\'(0.15-0.25]\'',-0.052331,4,1.2,Iris-setosa
'\'(0.25-0.55]\'',-0.173094,4.4,1.5,Iris-setosa
'\'(0.25-0.55]\'',-0.535384,3.9,1.3,Iris-setosa
'\'(0.25-0.55]\'',-0.897674,3.5,1.4,Iris-setosa
'\'(0.25-0.55]\'',-0.173094,3.8,1.7,Iris-setosa
'\'(0.25-0.55]\'',-0.897674,3.8,1.5,Iris-setosa
