@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(5.02-5.38]\'',3.5,1.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3,1.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.2,1.3,Iris-setosa
0.041667,'\'(-inf-4.66]\'',3.1,1.5,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.6,1.4,Iris-setosa
0.125,'\'(5.38-5.74]\'',3.9,1.7,Iris-setosa
0.083333,'\'(-inf-4.66]\'',3.4,1.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.4,1.5,Iris-setosa
0.041667,'\'(-inf-4.66]\'',2.9,1.4,Iris-setosa
0,'\'(4.66-5.02]\'',3.1,1.5,Iris-setosa
0.041667,'\'(5.38-5.74]\'',3.7,1.5,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.4,1.6,Iris-setosa
0,'\'(4.66-5.02]\'',3,1.4,Iris-setosa
0,'\'(-inf-4.66]\'',3,1.1,Iris-setosa
0.041667,'\'(5.74-6.1]\'',4,1.2,Iris-setosa
0.125,'\'(5.38-5.74]\'',4.4,1.5,Iris-setosa
0.125,'\'(5.38-5.74]\'',3.9,1.3,Iris-setosa
0.083333,'\'(5.02-5.38]\'',3.5,1.4,Iris-setosa
0.083333,'\'(5.38-5.74]\'',3.8,1.7,Iris-setosa
0.083333,'\'(5.02-5.38]\'',3.8,1.5,Iris-setosa
0.041667,'\'(5.38-5.74]\'',3.4,1.7,Iris-setosa
0.125,'\'(5.02-5.38]\'',3.7,1.5,Iris-setosa
0.041667,'\'(-inf-4.66]\'',3.6,1,Iris-setosa
0.166667,'\'(5.02-5.38]\'',3.3,1.7,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.4,1.9,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3,1.6,Iris-setosa
0.125,'\'(4.66-5.02]\'',3.4,1.6,Iris-setosa
0.041667,'\'(5.02-5.38]\'',3.5,1.5,Iris-setosa
0.041667,'\'(5.02-5.38]\'',3.4,1.4,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.2,1.6,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.1,1.6,Iris-setosa
0.125,'\'(5.38-5.74]\'',3.4,1.5,Iris-setosa
0,'\'(5.02-5.38]\'',4.1,1.5,Iris-setosa
0.041667,'\'(5.38-5.74]\'',4.2,1.4,Iris-setosa
0,'\'(4.66-5.02]\'',3.1,1.5,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.2,1.2,Iris-setosa
0.041667,'\'(5.38-5.74]\'',3.5,1.3,Iris-setosa
0,'\'(4.66-5.02]\'',3.1,1.5,Iris-setosa
0.041667,'\'(-inf-4.66]\'',3,1.3,Iris-setosa
0.041667,'\'(5.02-5.38]\'',3.4,1.5,Iris-setosa
0.083333,'\'(4.66-5.02]\'',3.5,1.3,Iris-setosa
0.083333,'\'(-inf-4.66]\'',2.3,1.3,Iris-setosa
0.041667,'\'(-inf-4.66]\'',3.2,1.3,Iris-setosa
0.208333,'\'(4.66-5.02]\'',3.5,1.6,Iris-setosa
0.125,'\'(5.02-5.38]\'',3.8,1.9,Iris-setosa
0.083333,'\'(4.66-5.02]\'',3,1.4,Iris-setosa
0.041667,'\'(5.02-5.38]\'',3.8,1.6,Iris-setosa
0.041667,'\'(-inf-4.66]\'',3.2,1.4,Iris-setosa
0.041667,'\'(5.02-5.38]\'',3.7,1.5,Iris-setosa
0.041667,'\'(4.66-5.02]\'',3.3,1.4,Iris-setosa
0.541667,'\'(6.82-7.18]\'',3.2,4.7,Iris-versicolor
0.583333,'\'(6.1-6.46]\'',3.2,4.5,Iris-versicolor
0.583333,'\'(6.82-7.18]\'',3.1,4.9,Iris-versicolor
0.5,'\'(5.38-5.74]\'',2.3,4,Iris-versicolor
0.583333,'\'(6.46-6.82]\'',2.8,4.6,Iris-versicolor
0.5,'\'(5.38-5.74]\'',2.8,4.5,Iris-versicolor
0.625,'\'(6.1-6.46]\'',3.3,4.7,Iris-versicolor
0.375,'\'(4.66-5.02]\'',2.4,3.3,Iris-versicolor
0.5,'\'(6.46-6.82]\'',2.9,4.6,Iris-versicolor
0.541667,'\'(5.02-5.38]\'',2.7,3.9,Iris-versicolor
0.375,'\'(4.66-5.02]\'',2,3.5,Iris-versicolor
0.583333,'\'(5.74-6.1]\'',3,4.2,Iris-versicolor
0.375,'\'(5.74-6.1]\'',2.2,4,Iris-versicolor
0.541667,'\'(5.74-6.1]\'',2.9,4.7,Iris-versicolor
0.5,'\'(5.38-5.74]\'',2.9,3.6,Iris-versicolor
0.541667,'\'(6.46-6.82]\'',3.1,4.4,Iris-versicolor
0.583333,'\'(5.38-5.74]\'',3,4.5,Iris-versicolor
0.375,'\'(5.74-6.1]\'',2.7,4.1,Iris-versicolor
0.583333,'\'(6.1-6.46]\'',2.2,4.5,Iris-versicolor
0.416667,'\'(5.38-5.74]\'',2.5,3.9,Iris-versicolor
0.708333,'\'(5.74-6.1]\'',3.2,4.8,Iris-versicolor
0.5,'\'(5.74-6.1]\'',2.8,4,Iris-versicolor
0.583333,'\'(6.1-6.46]\'',2.5,4.9,Iris-versicolor
0.458333,'\'(5.74-6.1]\'',2.8,4.7,Iris-versicolor
0.5,'\'(6.1-6.46]\'',2.9,4.3,Iris-versicolor
0.541667,'\'(6.46-6.82]\'',3,4.4,Iris-versicolor
0.541667,'\'(6.46-6.82]\'',2.8,4.8,Iris-versicolor
0.666667,'\'(6.46-6.82]\'',3,5,Iris-versicolor
