@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf--1.37411]\'','\'(-1.37411--1.243076]\'','\'(-1.243076--0.849974]\'','\'(-0.849974-0.067264]\'','\'(0.067264-0.198298]\'','\'(0.198298-0.460366]\'','\'(0.460366-0.853468]\'','\'(0.853468-1.115536]\'','\'(1.115536-1.377604]\'','\'(1.377604-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-1.37411--1.243076]\'',1.028611,5.1,1.4,Iris-setosa
'\'(-1.37411--1.243076]\'',-0.12454,4.9,1.4,Iris-setosa
'\'(-1.37411--1.243076]\'',0.33672,4.7,1.3,Iris-setosa
'\'(-1.37411--1.243076]\'',0.10609,4.6,1.5,Iris-setosa
'\'(-1.37411--1.243076]\'',1.259242,5,1.4,Iris-setosa
'\'(-1.243076--0.849974]\'',1.951133,5.4,1.7,Iris-setosa
'\'(-1.243076--0.849974]\'',0.797981,4.6,1.4,Iris-setosa
'\'(-1.37411--1.243076]\'',0.797981,5,1.5,Iris-setosa
'\'(-1.37411--1.243076]\'',-0.355171,4.4,1.4,Iris-setosa
'\'(-inf--1.37411]\'',0.10609,4.9,1.5,Iris-setosa
'\'(-1.37411--1.243076]\'',1.489872,5.4,1.5,Iris-setosa
'\'(-1.37411--1.243076]\'',0.797981,4.8,1.6,Iris-setosa
'\'(-inf--1.37411]\'',-0.12454,4.8,1.4,Iris-setosa
'\'(-inf--1.37411]\'',-0.12454,4.3,1.1,Iris-setosa
'\'(-1.37411--1.243076]\'',2.181763,5.8,1.2,Iris-setosa
