@relation 'iris-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1'

@attribute 'filtered-0-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-unfiltered-filtered-0-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'',1.028611,5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'',-0.12454,4.9,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.33672,4.7,1.3,Iris-setosa
'\'(-inf-0.34]\'',0.10609,4.6,1.5,Iris-setosa
'\'(-inf-0.34]\'',1.259242,5,1.4,Iris-setosa
'\'(0.34-0.58]\'',1.951133,5.4,1.7,Iris-setosa
'\'(-inf-0.34]\'',0.797981,4.6,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.797981,5,1.5,Iris-setosa
'\'(-inf-0.34]\'',-0.355171,4.4,1.4,Iris-setosa
'\'(-inf-0.34]\'',0.10609,4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'',1.489872,5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.797981,4.8,1.6,Iris-setosa
'\'(-inf-0.34]\'',-0.12454,4.8,1.4,Iris-setosa
'\'(-inf-0.34]\'',-0.12454,4.3,1.1,Iris-setosa
'\'(-inf-0.34]\'',2.181763,5.8,1.2,Iris-setosa
'\'(0.34-0.58]\'',3.104284,5.7,1.5,Iris-setosa
'\'(0.34-0.58]\'',1.951133,5.4,1.3,Iris-setosa
'\'(-inf-0.34]\'',1.028611,5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'',1.720502,5.7,1.7,Iris-setosa
'\'(-inf-0.34]\'',1.720502,5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'',0.797981,5.4,1.7,Iris-setosa
'\'(0.34-0.58]\'',1.489872,5.1,1.5,Iris-setosa
