@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-sepal width in cm' {'\'(-inf-2.55]\'','\'(2.55-2.75]\'','\'(2.75-2.85]\'','\'(2.85-2.95]\'','\'(2.95-3.05]\'','\'(3.05-3.15]\'','\'(3.15-3.25]\'','\'(3.25-3.45]\'','\'(3.45-3.75]\'','\'(3.75-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'','\'(3.45-3.75]\'',5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(2.95-3.05]\'',4.9,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(3.15-3.25]\'',4.7,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(3.05-3.15]\'',4.6,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.45-3.75]\'',5,1.4,Iris-setosa
'\'(0.34-0.58]\'','\'(3.75-inf)\'',5.4,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(3.25-3.45]\'',4.6,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(3.25-3.45]\'',5,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(2.85-2.95]\'',4.4,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(3.05-3.15]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.45-3.75]\'',5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.25-3.45]\'',4.8,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(2.95-3.05]\'',4.8,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(2.95-3.05]\'',4.3,1.1,Iris-setosa
'\'(-inf-0.34]\'','\'(3.75-inf)\'',5.8,1.2,Iris-setosa
'\'(0.34-0.58]\'','\'(3.75-inf)\'',5.7,1.5,Iris-setosa
'\'(0.34-0.58]\'','\'(3.75-inf)\'',5.4,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(3.45-3.75]\'',5.1,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(3.75-inf)\'',5.7,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(3.75-inf)\'',5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.25-3.45]\'',5.4,1.7,Iris-setosa
'\'(0.34-0.58]\'','\'(3.45-3.75]\'',5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.45-3.75]\'',4.6,1,Iris-setosa
'\'(0.34-0.58]\'','\'(3.25-3.45]\'',5.1,1.7,Iris-setosa
'\'(-inf-0.34]\'','\'(3.25-3.45]\'',4.8,1.9,Iris-setosa
'\'(-inf-0.34]\'','\'(2.95-3.05]\'',5,1.6,Iris-setosa
'\'(0.34-0.58]\'','\'(3.25-3.45]\'',5,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(3.45-3.75]\'',5.2,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.25-3.45]\'',5.2,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(3.15-3.25]\'',4.7,1.6,Iris-setosa
'\'(-inf-0.34]\'','\'(3.05-3.15]\'',4.8,1.6,Iris-setosa
'\'(0.34-0.58]\'','\'(3.25-3.45]\'',5.4,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.75-inf)\'',5.2,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.75-inf)\'',5.5,1.4,Iris-setosa
'\'(-inf-0.34]\'','\'(3.05-3.15]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.15-3.25]\'',5,1.2,Iris-setosa
'\'(-inf-0.34]\'','\'(3.45-3.75]\'',5.5,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(3.05-3.15]\'',4.9,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(2.95-3.05]\'',4.4,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(3.25-3.45]\'',5.1,1.5,Iris-setosa
'\'(-inf-0.34]\'','\'(3.45-3.75]\'',5,1.3,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-2.55]\'',4.5,1.3,Iris-setosa
