@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.041667,'\'(-inf--1.22911]\'',5.1,3.5,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',4.9,3,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',4.7,3.2,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',4.6,3.1,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',5,3.6,Iris-setosa
0.125,'\'(-1.22911--0.894723]\'',5.4,3.9,Iris-setosa
0.083333,'\'(-inf--1.22911]\'',4.6,3.4,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',5,3.4,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',4.4,2.9,Iris-setosa
0,'\'(-inf--1.22911]\'',4.9,3.1,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',5.4,3.7,Iris-setosa
0.041667,'\'(-1.22911--0.894723]\'',4.8,3.4,Iris-setosa
0,'\'(-inf--1.22911]\'',4.8,3,Iris-setosa
0,'\'(-inf--1.22911]\'',4.3,3,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',5.8,4,Iris-setosa
0.125,'\'(-inf--1.22911]\'',5.7,4.4,Iris-setosa
0.125,'\'(-inf--1.22911]\'',5.4,3.9,Iris-setosa
0.083333,'\'(-inf--1.22911]\'',5.1,3.5,Iris-setosa
0.083333,'\'(-1.22911--0.894723]\'',5.7,3.8,Iris-setosa
0.083333,'\'(-inf--1.22911]\'',5.1,3.8,Iris-setosa
0.041667,'\'(-1.22911--0.894723]\'',5.4,3.4,Iris-setosa
0.125,'\'(-inf--1.22911]\'',5.1,3.7,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',4.6,3.6,Iris-setosa
0.166667,'\'(-1.22911--0.894723]\'',5.1,3.3,Iris-setosa
0.041667,'\'(-1.22911--0.894723]\'',4.8,3.4,Iris-setosa
0.041667,'\'(-1.22911--0.894723]\'',5,3,Iris-setosa
0.125,'\'(-1.22911--0.894723]\'',5,3.4,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',5.2,3.5,Iris-setosa
0.041667,'\'(-inf--1.22911]\'',5.2,3.4,Iris-setosa
