@relation 'iris(0RAXGJvTj)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4'

@attribute 'filtered-0-unfiltered-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf-1.59]\'','\'(1.59-2.18]\'','\'(2.18-2.77]\'','\'(2.77-3.36]\'','\'(3.36-3.95]\'','\'(3.95-4.54]\'','\'(4.54-5.13]\'','\'(5.13-5.72]\'','\'(5.72-6.31]\'','\'(6.31-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.1,3.5,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.9,3,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.7,3.2,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.6,3.1,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5,3.6,Iris-setosa
'\'(0.34-0.58]\'','\'(1.59-2.18]\'',5.4,3.9,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.6,3.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5,3.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.4,2.9,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.9,3.1,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.4,3.7,Iris-setosa
'\'(-inf-0.34]\'','\'(1.59-2.18]\'',4.8,3.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.8,3,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.3,3,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.8,4,Iris-setosa
'\'(0.34-0.58]\'','\'(-inf-1.59]\'',5.7,4.4,Iris-setosa
'\'(0.34-0.58]\'','\'(-inf-1.59]\'',5.4,3.9,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.1,3.5,Iris-setosa
'\'(-inf-0.34]\'','\'(1.59-2.18]\'',5.7,3.8,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.1,3.8,Iris-setosa
'\'(-inf-0.34]\'','\'(1.59-2.18]\'',5.4,3.4,Iris-setosa
'\'(0.34-0.58]\'','\'(-inf-1.59]\'',5.1,3.7,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.6,3.6,Iris-setosa
'\'(0.34-0.58]\'','\'(1.59-2.18]\'',5.1,3.3,Iris-setosa
'\'(-inf-0.34]\'','\'(1.59-2.18]\'',4.8,3.4,Iris-setosa
'\'(-inf-0.34]\'','\'(1.59-2.18]\'',5,3,Iris-setosa
'\'(0.34-0.58]\'','\'(1.59-2.18]\'',5,3.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.2,3.5,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.2,3.4,Iris-setosa
'\'(-inf-0.34]\'','\'(1.59-2.18]\'',4.7,3.2,Iris-setosa
'\'(-inf-0.34]\'','\'(1.59-2.18]\'',4.8,3.1,Iris-setosa
'\'(0.34-0.58]\'','\'(-inf-1.59]\'',5.4,3.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.2,4.1,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.5,4.2,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.9,3.1,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5,3.2,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.5,3.5,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.9,3.1,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.4,3,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.1,3.4,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5,3.5,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.5,2.3,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.4,3.2,Iris-setosa
'\'(0.58-0.82]\'','\'(1.59-2.18]\'',5,3.5,Iris-setosa
'\'(0.34-0.58]\'','\'(1.59-2.18]\'',5.1,3.8,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.8,3,Iris-setosa
'\'(-inf-0.34]\'','\'(1.59-2.18]\'',5.1,3.8,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',4.6,3.2,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5.3,3.7,Iris-setosa
'\'(-inf-0.34]\'','\'(-inf-1.59]\'',5,3.3,Iris-setosa
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',7,3.2,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.95-4.54]\'',6.4,3.2,Iris-versicolor
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6.9,3.1,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.5,2.3,Iris-versicolor
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6.5,2.8,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',5.7,2.8,Iris-versicolor
'\'(1.54-1.78]\'','\'(4.54-5.13]\'',6.3,3.3,Iris-versicolor
'\'(0.82-1.06]\'','\'(2.77-3.36]\'',4.9,2.4,Iris-versicolor
'\'(1.06-1.3]\'','\'(4.54-5.13]\'',6.6,2.9,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.36-3.95]\'',5.2,2.7,Iris-versicolor
'\'(0.82-1.06]\'','\'(3.36-3.95]\'',5,2,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.95-4.54]\'',5.9,3,Iris-versicolor
'\'(0.82-1.06]\'','\'(3.95-4.54]\'',6,2.2,Iris-versicolor
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6.1,2.9,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.36-3.95]\'',5.6,2.9,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.95-4.54]\'',6.7,3.1,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.95-4.54]\'',5.6,3,Iris-versicolor
'\'(0.82-1.06]\'','\'(3.95-4.54]\'',5.8,2.7,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.95-4.54]\'',6.2,2.2,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.36-3.95]\'',5.6,2.5,Iris-versicolor
'\'(1.78-2.02]\'','\'(4.54-5.13]\'',5.9,3.2,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',6.1,2.8,Iris-versicolor
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6.3,2.5,Iris-versicolor
'\'(1.06-1.3]\'','\'(4.54-5.13]\'',6.1,2.8,Iris-versicolor
'\'(1.06-1.3]\'','\'(3.95-4.54]\'',6.4,2.9,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.95-4.54]\'',6.6,3,Iris-versicolor
'\'(1.3-1.54]\'','\'(4.54-5.13]\'',6.8,2.8,Iris-versicolor
'\'(1.54-1.78]\'','\'(4.54-5.13]\'',6.7,3,Iris-versicolor
'\'(1.3-1.54]\'','\'(3.95-4.54]\'',6,2.9,Iris-versicolor
